"Team","Off.Rank","Games","Win-Loss","Off.Plays","Off.Yards","Off.Yards/Play","Off.TDs","Off.Yards.per.Game","Def.Rank","Def.Plays","Yards.Allowed","Yards/Play.Allowed","Off.TDs.Allowed","Total.TDs.Allowed","Yards.Per.Game.Allowed","Turnover.Rank","Fumbles.Recovered","Opponents.Intercepted","Turnovers.Gain","Fumbles.Lost","Interceptions.Thrown_x","Turnovers.Lost","Turnover.Margin","Avg.Turnover.Margin.per.Game","Time.of.Possession.Rank","Time.of.Possession","Average.Time.of.Possession.per.Game","Tackle.for.Loss.Rank","Solo.Tackle.For.Loss","Assist.Tackle.For.Loss","Tackle.for.Loss.Yards","Total.Tackle.For.Loss","Tackle.For.Loss.Per.Game","Sack.Rank","Sacks","Sack.Yards","Average.Sacks.per.Game","Scoring.Off.Rank","Touchdowns","PAT","2.Point.Conversions","Defensive.Points","Feild.Goals","Safety","Total.Points","Points.Per.Game","Scoring.Def.Rank","Touchdowns.Allowed","Opponent.Extra.Points","2.Point.Conversions.Allowed","Opp.Deflected.Extra.Points","Opp.Feild.Goals.Made","Opp.Safety","Points.Allowed","Avg.Points.per.Game.Allowed","Rushing.Off.Rank","Rush.Attempts","Rush.Yds","Yards/Rush","Rushing.TD","Rushing.Yards.per.Game","Rushing.Def.Rank","Opp.Rush.Attempts","Opp.Rush.Yards.Alloweed","Yds/Rush.Allowed","Opp.Rush.Touchdowns.Allowed","Rush.Yards.Per.Game.Allowed","Redzone.Off.Rank","Redzone.Attempts","Redzone.Rush.TD","Redzone.Pass.TD","Redzone.Field.Goals.Made","Redzone.Scores","Redzone.Points","Redzone.Def.Rank","Opp.Redzone.Attempts","Opp.Redzone.Rush.TD.Allowed","Opp.Redzone.Pass.Touchdowns.Allowed","Opp.Redzone.Field.Goals.Made","Opp.Redzone.Scores","Redzone.Points.Allowed","Punt.Return.Rank","Punt.Returns","Net.Punt.Return.Yards","Punt.Return.Touchdowns","Avg.Yards.Per.Punt.Return","Punt.Return.Def.Rank","Opp.Punt.Returns","Opp.Net.Punt.Return.Yards","Opp.Punt.Return.Touchdowns.Allowed","Avg.Yards.Allowed.per.Punt.Return","Passing.Off.Rank","Pass.Attempts","Pass.Completions","Interceptions.Thrown_y","Pass.Yards","Pass.Yards/Attempt","Yards/Completion","Pass.Touchdowns","Pass.Yards.Per.Game","Pass.Def.Rank","Opp.Completions.Allowed","Opp.Pass.Attempts","Opp.Pass.Yds.Allowed","Opp.Pass.TDs.Allowed","Yards/Attempt.Allowed","Yards/Completion.Allowed","Pass.Yards.Per.Game.Allowed","Kickoff.Return.Rank","Kickoffs.Returned","Kickoff.Return.Yards","Kickoff.Return.Touchdowns","Avg.Yard.per.Kickoff.Return","Kickoff.Return.Def.Rank","Opp.Kickoff.Returns","Kickoff.Touchbacks","Opponent.Kickoff.Return.Yards","Opp.Kickoff.Return.Touchdowns.Allowed","Avg.Yards.per.Kickoff.Return.Allowed","First.Down.Rank","First.Down.Runs","First.Down.Passes","First.Down.Penalties","First.Downs","First.Down.Def.Rank","Opp.First.Down.Runs","Opp.First.Down.Passes","Opp.First.Down.Penalties","Opp.First.Downs","Penalty.Rank","Penalties","Penalty.Yards","Penalty.Yards.Per.Game","3rd.Down.Rank","3rd.Attempts","3rd.Conversions","3rd.Percent","3rd.Down.Def.Rank","Opp.3rd.Conversion","Opp.3rd.Attempt","Opponent.3rd.Percent","4th.Down.Rank","4th.Attempts","4th.Conversions","4th.Percent","4rd.Down.Def.Rank","Opp.4th.Conversion","Opp.4th.Attempt","Opponent.4th.Percent"
"Tennessee (SEC)",1,12,10-2,879,6457,7.35,74,538.1,86,890,4785,5.38,35,36,398.8,11,11,9,20,8,3,11,9,0.75,131,301:53,25:09,12,70,34,348,87,7.2,58,23,119,1.92,1,75,71,1,0,15,0,568,47.3,45,36,31,1,0,11,0,282,23.5,20,485,2469,5.09,39,205.8,19,414,1341,3.24,14,111.8,6,63,34,16,9,59,0.937,20,48,12,14,11,37,0.771,7,2,5,0,2.5,7,2,5,0,2.5,3,394,271,3,3988,10.12,14.72,35,332.3,127,303,476,3444,21,7.24,11.37,287.0,67,15,297,0,19.8,17,37,31,629,0,17.0,107,86,158,29,273,107,86,158,29,273,120,96,800,66.67,34,153,66,0.431,28,58,171,0.339,10,22,33,0.667,48,14,30,0.467
"Washington (Pac-12)",2,12,10-2,892,6260,7.02,62,521.7,57,801,4425,5.52,38,40,368.8,55,5,7,12,2,8,10,2,0.17,39,371:43,30:59,71,54,26,305,67,5.6,3,7,54,0.58,4,62,56,3,0,17,2,489,40.8,62,40,33,4,0,11,1,316,26.3,71,372,1740,4.68,32,145.0,33,430,1524,3.54,13,127.0,48,65,28,15,13,56,0.862,15,38,12,11,6,29,0.763,64,8,55,0,6.88,64,8,55,0,6.88,1,520,341,8,4520,8.69,13.26,30,376.7,90,232,371,2901,25,7.82,12.5,241.8,68,24,475,0,19.79,49,50,25,939,0,18.78,87,104,129,24,257,87,104,129,24,257,105,82,741,61.75,1,163,93,0.571,119,75,167,0.449,41,14,25,0.56,49,16,34,0.471
"UCLA (Pac-12)",3,12,9-3,873,6094,6.98,61,507.8,88,841,4798,5.71,40,42,399.8,62,7,10,17,8,8,16,1,0.08,110,336:10,28:01,115,43,22,256,54,4.5,28,16,109,1.33,10,61,58,2,0,15,1,475,39.6,84,42,36,5,0,14,0,340,28.3,4,486,2956,6.08,34,246.3,30,398,1490,3.74,16,124.2,51,64,27,17,11,55,0.859,90,46,16,15,9,40,0.87,107,9,100,1,11.11,107,9,100,1,11.11,39,387,270,8,3138,8.11,11.62,27,261.5,120,297,443,3308,24,7.47,11.14,275.7,47,35,735,0,21.0,62,25,57,495,0,19.8,104,101,147,21,269,104,101,147,21,269,63,80,637,53.08,6,153,78,0.51,83,65,162,0.401,29,15,25,0.6,127,18,26,0.692
"Oregon (Pac-12)",4,12,9-3,878,6093,6.94,60,507.8,75,786,4633,5.89,38,40,386.1,8,5,16,21,3,8,11,10,0.83,28,379:49,31:39,126,38,22,208,49,4.1,1,4,18,0.33,9,62,60,1,0,14,0,476,39.7,76,40,38,0,0,17,0,329,27.4,14,476,2595,5.45,32,216.2,32,354,1506,4.25,17,125.5,60,66,27,19,10,56,0.848,20,48,16,12,9,37,0.771,116,4,52,0,13.0,116,4,52,0,13.0,15,402,285,8,3498,8.7,12.27,28,291.5,107,279,432,3127,21,7.24,11.21,260.6,109,23,402,0,17.48,117,22,56,524,0,23.82,94,87,150,26,263,94,87,150,26,263,91,83,705,58.75,23,150,69,0.46,126,76,158,0.481,26,19,31,0.613,18,9,23,0.391
"Southern California (Pac-12)",5,13,11-2,904,6498,7.19,67,499.8,102,857,5396,6.3,48,48,415.1,1,9,19,28,2,4,6,22,1.69,32,407:26,31:20,66,61,28,351,75,5.8,80,30,247,2.31,3,70,68,1,0,14,1,534,41.1,81,48,40,4,0,9,0,363,27.9,51,441,2264,5.13,29,174.2,62,415,1932,4.66,25,148.6,62,72,26,28,7,61,0.847,39,51,22,12,7,41,0.804,109,7,80,0,11.43,109,7,80,0,11.43,5,463,308,4,4234,9.14,13.75,38,325.7,112,285,442,3464,23,7.84,12.15,266.5,89,31,588,0,18.97,76,44,42,904,0,20.55,124,111,156,27,294,124,111,156,27,294,97,83,775,59.62,4,153,79,0.516,112,70,162,0.432,16,13,20,0.65,112,17,27,0.63
"Ohio St. (Big Ten)",6,12,11-1,810,5912,7.3,67,492.7,12,747,3647,4.88,26,28,303.9,23,7,10,17,4,6,10,7,0.58,49,367:06,30:36,21,70,24,312,82,6.8,5,8,46,0.67,2,70,69,0,0,15,0,534,44.5,13,28,26,1,1,11,0,231,19.2,28,434,2382,5.49,29,198.5,23,421,1439,3.42,10,119.9,4,58,22,22,11,55,0.948,121,23,6,8,7,21,0.913,36,8,42,0,5.25,36,8,42,0,5.25,14,376,251,6,3530,9.39,14.06,38,294.2,14,189,326,2208,16,6.77,11.68,184.0,85,16,308,0,19.25,70,35,40,706,0,20.17,4,66,87,20,173,4,66,87,20,173,51,69,600,50.0,21,154,71,0.461,13,54,177,0.305,7,12,17,0.706,7,8,24,0.333
"Georgia (SEC)",7,13,13-0,917,6395,6.97,61,491.9,9,795,3797,4.78,16,17,292.1,74,6,10,16,11,6,17,-1,-0.08,8,432:44,33:17,62,62,28,288,76,5.8,2,7,55,0.54,11,62,61,1,0,24,1,509,39.2,2,17,13,0,0,17,0,166,12.8,18,487,2691,5.53,37,207.0,1,341,1001,2.94,5,77.0,1,71,30,18,21,69,0.972,1,28,5,4,8,17,0.607,129,6,110,1,18.33,129,6,110,1,18.33,19,430,293,6,3704,8.61,12.64,24,284.9,52,257,454,2796,11,6.16,10.88,215.1,90,19,360,0,18.95,55,16,65,310,0,19.38,15,58,120,21,199,15,58,120,21,199,34,58,598,46.0,5,159,82,0.516,3,47,176,0.267,2,11,13,0.846,17,12,31,0.387
"Ole Miss (SEC)",8,12,8-4,917,5895,6.43,51,491.2,69,859,4558,5.31,36,36,379.8,62,10,7,17,7,9,16,1,0.08,126,316:41,26:23,50,59,30,342,74,6.2,21,14,95,1.17,27,52,49,1,0,15,1,410,34.2,50,36,33,1,0,13,0,290,24.2,3,571,3139,5.5,31,261.6,82,468,1942,4.15,15,161.8,100,59,26,12,9,47,0.797,119,44,13,17,10,40,0.909,68,10,71,0,7.1,68,10,71,0,7.1,66,346,214,9,2756,7.97,12.88,20,229.7,57,250,391,2616,21,6.69,10.46,218.0,92,22,413,0,18.77,89,21,40,450,0,21.43,74,114,117,19,250,74,114,117,19,250,103,81,740,61.67,11,174,83,0.477,68,69,178,0.388,55,15,28,0.536,21,12,30,0.4
"UTSA (C-USA)",9,13,11-2,972,6319,6.5,61,486.1,90,912,5261,5.77,40,42,404.7,34,7,13,20,8,7,15,5,0.38,62,389:11,29:56,56,51,54,262,78,6.0,54,24,155,1.85,12,63,58,2,0,21,0,503,38.7,64,42,41,2,0,16,0,345,26.5,50,511,2307,4.51,28,177.5,70,464,1966,4.24,20,151.2,17,61,21,20,14,55,0.902,35,45,15,10,11,36,0.8,24,13,54,0,4.15,24,13,54,0,4.15,12,461,318,7,4012,8.7,12.62,33,308.6,101,260,448,3295,20,7.35,12.67,253.5,53,19,395,1,20.79,57,41,33,796,0,19.41,95,106,137,21,264,95,106,137,21,264,95,90,772,59.38,8,175,87,0.497,71,76,195,0.39,63,12,24,0.5,31,15,35,0.429
"Western Ky. (C-USA)",10,13,8-5,955,6285,6.58,53,483.5,70,945,4951,5.24,35,36,380.8,15,13,17,30,10,11,21,9,0.69,92,375:19,28:52,104,47,32,267,63,4.8,18,14,92,1.08,18,60,59,1,0,15,0,466,35.8,44,36,33,1,0,18,0,305,23.5,72,388,1876,4.84,15,144.3,74,502,2023,4.03,17,155.6,72,53,13,21,10,44,0.83,101,41,12,12,12,36,0.878,100,8,78,0,9.75,100,8,78,0,9.75,2,567,364,11,4409,7.78,12.11,38,339.2,69,273,443,2928,18,6.61,10.73,225.2,49,21,438,0,20.86,36,37,35,672,0,18.16,109,112,141,23,276,109,112,141,23,276,82,80,735,56.54,47,175,72,0.411,39,68,194,0.351,104,15,37,0.405,62,14,28,0.5
"UCF (AAC)",11,13,9-4,995,6248,6.28,55,480.6,71,873,4970,5.69,36,36,382.3,90,12,6,18,13,8,21,-3,-0.23,40,402:03,30:56,70,57,32,278,73,5.6,80,30,162,2.31,26,57,51,4,0,14,2,447,34.4,39,36,31,3,0,16,0,301,23.2,8,579,3069,5.3,33,236.1,76,448,2031,4.53,21,156.2,105,62,26,12,11,49,0.79,5,54,15,9,13,37,0.685,87,17,145,0,8.53,87,17,145,0,8.53,55,416,269,8,3179,7.64,11.82,22,244.5,73,249,425,2939,15,6.92,11.8,226.1,83,31,598,0,19.29,46,23,52,430,0,18.7,89,94,137,29,260,89,94,137,29,260,43,65,622,47.85,16,195,92,0.472,58,67,180,0.372,13,17,26,0.654,33,13,30,0.433
"SMU (AAC)",12,12,7-5,918,5758,6.27,59,479.8,118,880,5349,6.08,53,53,445.8,82,8,9,17,9,10,19,-2,-0.17,119,329:13,27:26,85,55,16,297,63,5.2,41,19,124,1.58,13,60,56,0,0,15,0,461,38.4,123,53,47,2,0,15,1,416,34.7,65,442,1859,4.21,25,154.9,121,493,2438,4.95,28,203.2,12,58,22,20,11,53,0.914,72,50,20,12,10,42,0.84,45,8,46,0,5.75,45,8,46,0,5.75,6,476,306,10,3899,8.19,12.74,34,324.9,91,220,387,2911,25,7.52,13.23,242.6,63,18,362,0,20.11,126,32,44,832,0,26.0,103,122,127,19,268,103,122,127,19,268,25,53,517,43.08,17,185,87,0.47,64,67,177,0.379,36,20,34,0.588,118,22,34,0.647
"Florida St. (ACC)",13,12,9-3,832,5708,6.86,57,475.7,14,779,3687,4.73,28,28,307.2,55,7,8,15,7,6,13,2,0.17,35,374:04,31:10,55,57,32,292,73,6.1,34,18,136,1.5,17,58,54,1,0,10,0,434,36.2,16,28,26,0,0,14,0,236,19.7,12,475,2614,5.5,31,217.8,61,454,1780,3.92,11,148.3,70,61,27,16,8,51,0.836,64,36,10,10,10,30,0.833,27,11,49,0,4.45,27,11,49,0,4.45,41,357,222,6,3094,8.67,13.94,26,257.8,3,183,325,1907,17,5.87,10.42,158.9,7,13,322,1,24.77,77,20,48,411,0,20.55,29,100,98,23,221,29,100,98,23,221,106,84,743,61.92,3,156,81,0.519,26,55,163,0.337,112,8,21,0.381,85,12,22,0.545
"Alabama (SEC)",14,12,10-2,841,5706,6.78,57,475.5,15,827,3736,4.52,25,25,311.3,82,10,5,15,9,8,17,-2,-0.17,59,364:29,30:22,21,60,44,329,82,6.8,44,20,138,1.67,4,61,58,1,0,21,0,489,40.8,9,25,20,2,0,14,0,216,18.0,30,425,2367,5.57,25,197.2,31,428,1504,3.51,13,125.3,28,60,19,21,13,53,0.883,18,39,11,8,11,30,0.769,59,10,66,0,6.6,59,10,66,0,6.6,23,416,265,8,3339,8.03,12.6,32,278.2,16,220,399,2232,12,5.59,10.15,186.0,101,19,341,0,17.95,34,29,45,526,0,18.14,31,88,102,33,223,31,88,102,33,223,124,98,848,70.67,22,152,70,0.461,8,53,180,0.294,40,9,16,0.562,9,8,23,0.348
"NCSt (ACC)",15,13,9-4,965,6157,6.38,59,473.6,115,933,5697,6.11,52,53,438.2,74,5,8,13,7,7,14,-1,-0.08,67,386:02,29:42,130,32,30,180,47,3.6,105,38,183,2.92,23,60,54,1,0,13,0,455,35.0,105,53,48,2,0,11,0,403,31.0,63,474,2033,4.29,24,156.4,83,481,2104,4.37,27,161.8,106,66,19,23,10,52,0.788,90,46,22,12,6,40,0.87,78,20,156,0,7.8,78,20,156,0,7.8,9,491,326,7,4124,8.4,12.65,35,317.2,121,294,452,3593,25,7.95,12.22,276.4,31,19,415,1,21.84,106,23,53,517,0,22.48,126,117,157,26,300,126,117,157,26,300,78,81,719,55.31,13,186,88,0.473,93,73,177,0.412,19,21,33,0.636,62,13,26,0.5
"TCU (Big 12)",16,13,12-1,899,6149,6.84,64,473.0,74,925,5006,5.41,40,41,385.1,15,5,14,19,6,4,10,9,0.69,34,406:21,31:15,77,55,32,263,71,5.5,52,23,179,1.77,6,68,61,2,0,17,0,524,40.3,57,41,40,0,0,13,0,325,25.0,25,497,2600,5.23,33,200.0,66,474,1943,4.1,21,149.5,80,55,22,15,8,45,0.818,76,45,19,9,10,38,0.844,46,5,29,0,5.8,46,5,29,0,5.8,25,402,264,4,3549,8.83,13.44,31,273.0,84,243,451,3063,19,6.79,12.6,235.6,65,35,697,0,19.91,104,44,42,988,0,22.45,92,110,133,18,261,92,110,133,18,261,39,60,609,46.85,54,174,70,0.402,41,68,193,0.352,41,14,25,0.56,61,19,39,0.487
"Utah (Pac-12)",17,13,10-3,923,6145,6.66,66,472.7,19,754,4229,5.61,33,33,325.3,21,12,12,24,8,8,16,8,0.62,6,436:07,33:33,41,62,42,391,83,6.4,6,9,68,0.69,8,70,66,2,0,10,0,520,40.0,24,33,31,2,0,10,1,265,20.4,10,517,2863,5.54,37,220.2,16,363,1391,3.83,15,107.0,74,70,30,20,8,58,0.829,94,40,11,16,8,35,0.875,2,5,3,0,0.6,2,5,3,0,0.6,48,406,270,8,3282,8.08,12.16,29,252.5,58,237,391,2838,18,7.26,11.97,218.3,95,7,129,0,18.43,85,58,29,1232,0,21.24,17,76,116,14,206,17,76,116,14,206,20,59,538,41.38,9,161,80,0.497,9,45,152,0.296,22,17,27,0.63,14,11,29,0.379
"Oklahoma (Big 12)",18,12,6-6,904,5666,6.27,51,472.2,120,971,5406,5.57,45,45,450.5,23,5,16,21,6,8,14,7,0.58,128,312:17,26:01,5,66,66,388,99,8.2,66,25,123,2.08,35,51,50,1,1,11,1,395,32.9,98,45,41,1,0,14,0,355,29.6,13,521,2599,4.99,25,216.6,109,510,2268,4.45,27,189.0,64,45,21,10,7,38,0.844,80,53,25,11,9,45,0.849,10,12,34,0,2.83,10,12,34,0,2.83,45,383,237,8,3067,8.01,12.94,26,255.6,108,282,461,3138,18,6.81,11.13,261.5,68,24,475,0,19.79,127,16,54,420,0,26.25,128,132,154,23,309,128,132,154,23,309,54,67,606,50.5,57,178,71,0.399,90,80,196,0.408,116,10,27,0.37,89,14,25,0.56
"Ga. Southern (Sun Belt)",19,12,6-6,914,5613,6.14,49,467.8,129,894,5954,6.66,46,47,496.2,98,4,11,15,4,15,19,-4,-0.33,108,337:58,28:10,128,35,24,158,47,3.9,3,7,52,0.58,30,51,48,1,0,16,0,404,33.7,112,47,44,1,0,20,0,388,32.3,83,350,1689,4.83,23,140.8,129,499,2880,5.77,28,240.0,21,49,17,14,13,44,0.898,12,58,22,6,15,43,0.741,113,17,207,0,12.18,113,17,207,0,12.18,4,564,344,15,3924,6.96,11.41,26,327.0,102,233,395,3074,18,7.78,13.19,256.2,111,25,433,0,17.32,91,27,25,582,0,21.56,122,153,126,14,293,122,153,126,14,293,32,59,540,45.0,15,180,85,0.472,88,68,167,0.407,51,12,22,0.545,75,12,23,0.522
"North Texas (C-USA)",20,13,7-6,892,6030,6.76,54,463.8,124,987,5981,6.06,46,51,460.1,97,8,8,16,6,14,20,-4,-0.31,122,350:01,26:55,111,48,24,251,60,4.6,9,11,71,0.85,29,56,54,0,0,17,0,441,33.9,110,51,50,0,0,17,1,409,31.5,24,496,2622,5.29,22,201.7,107,522,2449,4.69,23,188.4,44,52,17,16,12,45,0.865,75,51,19,12,12,43,0.843,8,12,32,0,2.67,8,12,32,0,2.67,36,396,222,14,3408,8.61,15.35,32,262.2,115,296,465,3532,23,7.6,11.93,271.7,78,38,740,1,19.47,94,16,62,347,0,21.69,127,135,156,15,306,127,135,156,15,306,22,68,551,42.38,40,171,72,0.421,123,94,203,0.463,49,11,20,0.55,81,15,28,0.536
"Houston (AAC)",21,12,7-5,837,5563,6.65,54,463.6,110,864,5160,5.97,49,51,430.0,118,4,7,11,9,10,19,-8,-0.67,63,359:04,29:55,8,65,48,325,89,7.4,48,21,144,1.75,14,58,53,3,0,13,0,446,37.2,117,51,43,1,0,17,0,402,33.5,78,364,1710,4.7,17,142.5,58,416,1732,4.16,18,144.3,22,58,13,26,13,52,0.897,130,51,15,19,14,48,0.941,20,13,51,0,3.92,20,13,51,0,3.92,7,473,319,10,3853,8.15,12.08,37,321.1,126,283,448,3428,31,7.65,12.11,285.7,19,38,856,1,22.53,64,25,38,501,0,20.04,115,103,151,28,282,115,103,151,28,282,125,96,854,71.17,12,162,77,0.475,117,74,167,0.443,15,15,23,0.652,73,16,31,0.516
"Arizona (Pac-12)",22,12,5-7,811,5543,6.83,45,461.9,126,850,5612,6.6,58,60,467.7,106,12,3,15,8,13,21,-6,-0.5,109,336:42,28:03,115,41,26,177,54,4.5,58,23,219,1.92,47,45,38,3,0,18,1,370,30.8,126,60,57,0,0,7,0,438,36.5,74,352,1722,4.89,19,143.5,125,449,2509,5.59,33,209.1,82,54,15,17,12,44,0.815,99,57,27,18,5,50,0.877,80,17,140,1,8.24,80,17,140,1,8.24,8,459,283,13,3821,8.32,13.5,26,318.4,105,280,401,3103,25,7.74,11.08,258.6,103,20,354,0,17.7,88,20,45,427,0,21.35,128,140,139,30,309,128,140,139,30,309,51,65,600,50.0,39,147,62,0.422,125,64,134,0.478,92,10,23,0.435,91,12,21,0.571
"Texas Tech (Big 12)",23,12,7-5,1006,5514,5.48,50,459.5,101,857,4974,5.8,37,41,414.5,121,7,7,14,6,17,23,-9,-0.75,78,351:29,29:17,20,65,36,321,83,6.9,115,39,251,3.25,31,50,45,2,0,18,0,403,33.6,96,41,40,1,0,22,0,354,29.5,67,477,1830,3.84,25,152.5,90,473,1997,4.22,16,166.4,8,50,23,12,11,46,0.92,9,53,14,9,16,39,0.736,127,10,157,1,15.7,127,10,157,1,15.7,13,529,324,17,3684,6.96,11.37,25,307.0,97,226,384,2977,21,7.75,13.17,248.1,29,27,595,0,22.04,11,20,39,335,0,16.75,57,101,119,20,240,57,101,119,20,240,38,71,561,46.75,87,192,71,0.37,66,73,189,0.386,27,28,46,0.609,10,9,25,0.36
"East Carolina (AAC)",24,12,7-5,835,5508,6.6,46,459.0,94,798,4919,6.16,38,40,409.9,8,6,11,17,2,5,7,10,0.83,44,369:44,30:49,64,49,42,261,70,5.8,28,16,97,1.33,47,48,40,2,0,12,1,370,30.8,72,40,38,2,0,14,0,324,27.0,55,390,2046,5.25,23,170.5,18,387,1337,3.45,12,111.4,68,49,19,11,11,41,0.837,41,41,10,12,11,33,0.805,77,7,54,1,7.71,77,7,54,1,7.71,16,445,296,5,3462,7.78,11.7,23,288.5,131,271,411,3582,26,8.72,13.22,298.5,42,28,595,1,21.25,86,43,18,915,1,21.28,83,85,160,10,255,83,85,160,10,255,1,45,358,29.83,19,170,79,0.465,103,69,163,0.423,89,11,25,0.44,40,10,22,0.455
"App State (Sun Belt)",25,12,6-6,833,5464,6.56,55,455.3,36,784,4166,5.31,38,42,347.2,11,13,7,20,5,6,11,9,0.75,50,367:04,30:35,78,51,28,266,65,5.4,34,18,93,1.5,24,56,50,2,0,9,1,419,34.9,68,42,38,2,0,9,0,321,26.8,22,474,2453,5.18,27,204.4,36,420,1530,3.64,20,127.5,101,54,21,14,8,43,0.796,43,36,16,8,5,29,0.806,33,6,30,1,5.0,33,6,30,1,5.0,50,359,226,6,3011,8.39,13.32,28,250.9,61,218,364,2636,18,7.24,12.09,219.7,4,26,675,1,25.96,98,25,32,550,2,22.0,44,89,121,22,232,44,89,121,22,232,56,67,619,51.58,77,155,59,0.381,101,71,168,0.423,73,18,37,0.486,62,10,20,0.5
"Arkansas (SEC)",26,12,6-6,881,5445,6.18,46,453.8,123,846,5444,6.43,43,44,453.7,77,8,7,15,10,6,16,-1,-0.08,75,352:24,29:22,56,61,22,298,72,6.0,88,31,221,2.58,51,47,44,1,0,12,2,368,30.7,90,44,33,3,0,14,0,345,28.8,9,553,2681,4.85,22,223.4,104,453,2157,4.76,24,179.8,77,51,20,13,9,42,0.824,84,48,18,12,11,41,0.854,122,10,144,0,14.4,122,10,144,0,14.4,64,328,212,6,2764,8.43,13.04,24,230.3,118,238,393,3287,19,8.36,13.81,273.9,108,7,123,0,17.57,112,8,58,187,0,23.38,95,107,131,26,264,95,107,131,26,264,74,76,661,55.08,27,179,81,0.453,116,77,174,0.443,86,9,20,0.45,87,11,20,0.55
"Michigan (Big Ten)",27,13,13-0,895,5895,6.59,60,453.5,3,809,3602,4.45,16,18,277.1,21,3,12,15,3,4,7,8,0.62,4,440:46,33:54,81,57,26,345,70,5.4,10,13,107,1.0,7,63,61,2,0,26,0,521,40.1,5,18,16,1,0,16,0,174,13.4,6,560,3159,5.64,38,243.0,3,380,1108,2.92,7,85.2,5,64,29,14,17,60,0.938,30,29,5,6,12,23,0.793,73,7,52,1,7.43,73,7,52,1,7.43,94,335,217,4,2736,8.17,12.61,22,210.5,22,242,429,2494,9,5.81,10.31,191.8,88,17,323,0,19.0,24,21,68,365,0,17.38,12,65,118,14,197,12,65,118,14,197,4,53,420,32.31,18,173,81,0.468,20,59,182,0.324,1,17,19,0.895,6,9,28,0.321
"James Madison (Sun Belt)",28,11,8-3,807,4977,6.17,51,452.5,8,672,3184,4.74,25,28,289.5,36,13,11,24,10,10,20,4,0.36,9,366:05,33:17,2,69,52,337,95,8.6,64,22,141,2.0,15,53,50,1,0,11,2,407,37.0,29,28,25,1,1,11,0,230,20.9,39,479,2054,4.29,24,186.7,2,354,874,2.47,8,79.5,67,56,22,15,10,47,0.839,90,23,5,7,8,20,0.87,88,14,120,1,8.57,88,14,120,1,8.57,33,328,201,10,2923,8.91,14.54,27,265.7,43,174,318,2310,17,7.26,13.28,210.0,97,20,368,0,18.4,54,19,40,362,0,19.05,1,44,95,13,152,1,44,95,13,152,15,56,439,39.91,60,151,60,0.397,5,44,155,0.284,86,9,20,0.45,49,8,17,0.471
