"Team","Off.Rank","Games","Win-Loss","Off.Plays","Off.Yards","Off.Yards/Play","Off.TDs","Off.Yards.per.Game","Def.Rank","Def.Plays","Yards.Allowed","Yards/Play.Allowed","Off.TDs.Allowed","Total.TDs.Allowed","Yards.Per.Game.Allowed","Turnover.Rank","Fumbles.Recovered","Opponents.Intercepted","Turnovers.Gain","Fumbles.Lost","Interceptions.Thrown_x","Turnovers.Lost","Turnover.Margin","Avg.Turnover.Margin.per.Game","Time.of.Possession.Rank","Time.of.Possession","Average.Time.of.Possession.per.Game","Tackle.for.Loss.Rank","Solo.Tackle.For.Loss","Assist.Tackle.For.Loss","Tackle.for.Loss.Yards","Total.Tackle.For.Loss","Tackle.For.Loss.Per.Game","Sack.Rank","Sacks","Sack.Yards","Average.Sacks.per.Game","Scoring.Off.Rank","Touchdowns","PAT","2.Point.Conversions","Defensive.Points","Feild.Goals","Safety","Total.Points","Points.Per.Game","Scoring.Def.Rank","Touchdowns.Allowed","Opponent.Extra.Points","2.Point.Conversions.Allowed","Opp.Deflected.Extra.Points","Opp.Feild.Goals.Made","Opp.Safety","Points.Allowed","Avg.Points.per.Game.Allowed","Rushing.Off.Rank","Rush.Attempts","Rush.Yds","Yards/Rush","Rushing.TD","Rushing.Yards.per.Game","Rushing.Def.Rank","Opp.Rush.Attempts","Opp.Rush.Yards.Alloweed","Yds/Rush.Allowed","Opp.Rush.Touchdowns.Allowed","Rush.Yards.Per.Game.Allowed","Redzone.Off.Rank","Redzone.Attempts","Redzone.Rush.TD","Redzone.Pass.TD","Redzone.Field.Goals.Made","Redzone.Scores","Redzone.Points","Redzone.Def.Rank","Opp.Redzone.Attempts","Opp.Redzone.Rush.TD.Allowed","Opp.Redzone.Pass.Touchdowns.Allowed","Opp.Redzone.Field.Goals.Made","Opp.Redzone.Scores","Redzone.Points.Allowed","Punt.Return.Rank","Punt.Returns","Net.Punt.Return.Yards","Punt.Return.Touchdowns","Avg.Yards.Per.Punt.Return","Punt.Return.Def.Rank","Opp.Punt.Returns","Opp.Net.Punt.Return.Yards","Opp.Punt.Return.Touchdowns.Allowed","Avg.Yards.Allowed.per.Punt.Return","Passing.Off.Rank","Pass.Attempts","Pass.Completions","Interceptions.Thrown_y","Pass.Yards","Pass.Yards/Attempt","Yards/Completion","Pass.Touchdowns","Pass.Yards.Per.Game","Pass.Def.Rank","Opp.Completions.Allowed","Opp.Pass.Attempts","Opp.Pass.Yds.Allowed","Opp.Pass.TDs.Allowed","Yards/Attempt.Allowed","Yards/Completion.Allowed","Pass.Yards.Per.Game.Allowed","Kickoff.Return.Rank","Kickoffs.Returned","Kickoff.Return.Yards","Kickoff.Return.Touchdowns","Avg.Yard.per.Kickoff.Return","Kickoff.Return.Def.Rank","Opp.Kickoff.Returns","Kickoff.Touchbacks","Opponent.Kickoff.Return.Yards","Opp.Kickoff.Return.Touchdowns.Allowed","Avg.Yards.per.Kickoff.Return.Allowed","First.Down.Rank","First.Down.Runs","First.Down.Passes","First.Down.Penalties","First.Downs","First.Down.Def.Rank","Opp.First.Down.Runs","Opp.First.Down.Passes","Opp.First.Down.Penalties","Opp.First.Downs","Penalty.Rank","Penalties","Penalty.Yards","Penalty.Yards.Per.Game","3rd.Down.Rank","3rd.Attempts","3rd.Conversions","3rd.Percent","3rd.Down.Def.Rank","Opp.3rd.Conversion","Opp.3rd.Attempt","Opponent.3rd.Percent","4th.Down.Rank","4th.Attempts","4th.Conversions","4th.Percent","4rd.Down.Def.Rank","Opp.4th.Conversion","Opp.4th.Attempt","Opponent.4th.Percent"
"Mississippi St. (SEC)",63,12,8-4,862,4718,5.47,47,393.2,39,808,4204,5.2,34,35,350.3,31,8,14,22,10,7,17,5,0.42,77,351:31,29:18,42,48,56,268,76,6.3,71,26,243,2.17,36,53,44,0,0,10,0,392,32.7,50,35,30,1,0,16,0,290,24.2,130,273,946,3.47,12,78.8,55,419,1723,4.11,19,143.6,16,41,9,23,5,37,0.902,52,43,13,11,11,35,0.814,75,14,107,1,7.64,75,14,107,1,7.64,11,589,398,7,3772,6.4,9.48,35,314.3,36,230,389,2481,15,6.38,10.79,206.8,1,29,807,1,27.83,34,29,38,526,0,18.14,27,89,101,30,220,27,89,101,30,220,102,76,735,61.25,71,162,63,0.389,28,58,171,0.339,63,14,28,0.5,44,12,26,0.462
"Cincinnati (AAC)",64,12,9-3,788,4713,5.98,40,392.8,23,872,3942,4.52,30,30,328.5,37,8,9,17,5,8,13,4,0.33,104,339:56,28:20,15,64,44,346,86,7.2,88,31,240,2.58,46,45,44,1,0,19,0,373,31.1,23,30,27,0,0,11,2,244,20.3,88,388,1642,4.23,19,136.8,49,504,1705,3.38,16,142.1,18,40,13,8,15,36,0.9,24,40,13,10,8,31,0.775,16,20,70,0,3.5,16,20,70,0,3.5,44,400,241,8,3071,7.68,12.74,21,255.9,17,202,368,2237,14,6.08,11.07,186.4,56,18,372,1,20.67,14,19,45,321,0,16.89,59,102,107,33,242,59,102,107,33,242,122,95,812,67.67,78,169,64,0.379,61,72,191,0.377,20,12,19,0.632,34,10,23,0.435
"Louisiana Tech (C-USA)",65,12,3-9,833,4704,5.65,39,392.0,127,863,5625,6.52,54,58,468.8,82,12,11,23,6,19,25,-2,-0.17,69,354:59,29:35,113,43,24,229,55,4.6,92,32,210,2.67,62,42,38,2,0,18,0,348,29.0,128,58,54,1,0,17,0,455,37.9,98,399,1497,3.75,14,124.8,130,477,2918,6.12,34,243.2,125,49,11,12,12,35,0.714,68,55,21,11,14,46,0.836,120,8,110,2,13.75,120,8,110,2,13.75,30,434,254,19,3207,7.39,12.63,25,267.2,71,219,386,2707,20,7.01,12.36,225.6,41,35,744,0,21.26,42,26,35,479,0,18.42,119,140,124,26,290,119,140,124,26,290,115,82,771,64.25,94,177,65,0.367,111,71,165,0.43,100,13,31,0.419,121,18,27,0.667
"South Fla. (AAC)",66,12,1-11,767,4690,6.11,43,390.8,131,835,6199,7.42,62,64,516.6,98,10,6,16,11,9,20,-4,-0.33,74,353:41,29:28,88,52,20,199,62,5.2,21,14,92,1.17,71,44,37,4,0,9,0,336,28.0,130,64,61,1,0,15,1,494,41.2,29,441,2375,5.39,25,197.9,128,460,2815,6.12,37,234.6,58,47,18,14,8,40,0.851,67,61,24,13,14,51,0.836,98,8,77,0,9.62,98,8,77,0,9.62,110,326,188,9,2315,7.1,12.31,18,192.9,124,275,375,3384,25,9.02,12.31,282.0,45,47,994,1,21.15,43,9,50,166,0,18.44,128,134,159,16,309,128,134,159,16,309,10,55,443,36.92,68,151,59,0.391,130,73,145,0.503,84,14,31,0.452,108,14,23,0.609
"Middle Tenn. (C-USA)",67,12,7-5,892,4683,5.25,39,390.2,98,887,4959,5.59,41,44,413.2,17,8,17,25,7,10,17,8,0.67,93,346:12,28:51,25,62,38,380,81,6.8,85,30,200,2.5,58,45,44,0,0,12,0,350,29.2,82,44,41,0,0,10,1,337,28.1,104,423,1477,3.49,20,123.1,27,420,1463,3.48,14,121.9,93,51,17,12,12,41,0.804,2,46,11,13,7,31,0.674,50,21,126,0,6.0,50,21,126,0,6.0,31,469,315,10,3206,6.84,10.18,19,267.2,129,275,467,3496,27,7.49,12.71,291.3,57,16,330,0,20.62,59,49,11,956,1,19.51,95,88,154,22,264,95,88,154,22,264,92,80,708,59.0,102,185,66,0.357,75,71,180,0.394,36,20,34,0.588,40,15,33,0.455
"Arizona St. (Pac-12)",68,12,3-9,788,4646,5.9,39,387.2,106,841,5058,6.01,45,46,421.5,106,1,11,12,9,9,18,-6,-0.5,47,368:29,30:42,124,39,22,182,50,4.2,82,28,213,2.33,81,40,34,3,0,11,0,313,26.1,108,46,43,2,0,18,0,377,31.4,90,385,1623,4.22,21,135.2,106,435,2257,5.19,31,188.1,61,46,18,14,7,39,0.848,112,56,28,10,12,50,0.893,114,21,265,1,12.62,114,21,265,1,12.62,49,403,270,9,3023,7.5,11.2,18,251.9,81,246,406,2801,14,6.9,11.39,233.4,10,33,797,0,24.15,37,24,31,437,0,18.21,118,120,138,30,288,118,120,138,30,288,127,87,868,72.33,60,151,60,0.397,128,82,166,0.494,29,12,20,0.6,27,7,17,0.412
"Charlotte (C-USA)",69,12,3-9,800,4645,5.81,40,387.1,128,820,5805,7.08,57,62,483.8,118,4,9,13,7,14,21,-8,-0.67,71,354:52,29:34,88,46,32,196,62,5.2,98,34,236,2.83,91,41,36,1,0,3,0,293,24.4,129,62,53,3,0,14,0,473,39.4,111,371,1393,3.75,13,116.1,122,477,2463,5.16,29,205.2,45,37,10,19,3,32,0.865,59,57,23,13,11,47,0.825,4,9,19,1,2.11,4,9,19,1,2.11,26,429,257,14,3252,7.58,12.65,27,271.0,122,240,343,3342,28,9.74,13.92,278.5,87,44,838,0,19.05,80,13,28,271,0,20.85,121,130,136,26,292,121,130,136,26,292,96,81,714,59.5,62,159,63,0.396,118,64,144,0.444,120,12,34,0.353,112,17,27,0.63
"Illinois (Big Ten)",70,12,8-4,876,4640,5.3,32,386.7,2,743,3166,4.26,14,14,263.8,2,8,22,30,11,5,16,14,1.17,12,394:11,32:51,25,63,36,341,81,6.8,48,21,141,1.75,84,35,33,1,0,20,0,305,25.4,1,14,12,0,0,17,0,147,12.2,48,515,2140,4.16,17,178.3,8,373,1181,3.17,6,98.4,94,50,14,9,17,40,0.8,11,27,6,4,10,20,0.741,85,6,51,0,8.5,85,6,51,0,8.5,97,361,252,5,2500,6.93,9.92,15,208.3,6,183,370,1985,8,5.36,10.85,165.4,58,12,245,0,20.42,72,25,31,506,0,20.24,5,63,89,26,178,5,63,89,26,178,116,82,773,64.42,74,176,68,0.386,7,49,169,0.29,75,12,25,0.48,30,8,19,0.421
"UTEP (C-USA)",71,12,5-7,844,4618,5.47,29,384.8,42,721,4230,5.87,36,41,352.5,103,11,5,16,9,12,21,-5,-0.42,5,405:30,33:47,42,52,48,286,76,6.3,64,24,203,2.0,91,32,31,1,0,22,1,293,24.4,72,41,37,1,0,13,0,324,27.0,56,464,2006,4.32,14,167.2,41,403,1632,4.05,13,136.0,94,40,11,7,14,32,0.8,32,44,11,14,10,35,0.795,83,16,133,0,8.31,83,16,133,0,8.31,86,380,202,12,2612,6.87,12.93,15,217.7,55,180,318,2598,23,8.17,14.43,216.5,114,20,342,0,17.1,93,15,40,324,0,21.6,38,91,112,23,226,38,91,112,23,226,80,78,669,55.75,69,169,66,0.391,37,49,141,0.348,48,16,29,0.552,130,10,14,0.714
"Ball St. (MAC)",72,12,5-7,898,4610,5.13,32,384.2,85,947,4779,5.05,40,40,398.2,106,8,7,15,7,14,21,-6,-0.5,111,336:03,28:00,78,48,34,251,65,5.4,21,14,121,1.17,99,33,28,1,0,17,0,279,23.2,70,40,35,2,0,14,1,323,26.9,64,417,1868,4.48,14,155.7,105,531,2186,4.12,23,182.2,30,42,10,15,12,37,0.881,76,45,19,10,9,38,0.844,58,17,112,0,6.59,58,17,112,0,6.59,67,481,287,14,2742,5.7,9.55,18,228.5,53,241,416,2593,17,6.23,10.76,216.1,37,22,473,0,21.5,44,31,10,572,0,18.45,113,126,129,25,280,113,126,129,25,280,81,72,676,56.33,92,185,68,0.368,78,79,200,0.395,127,6,22,0.273,62,16,32,0.5
"Notre Dame (FBS Independent)",73,12,8-4,790,4592,5.81,44,382.7,22,760,3929,5.17,33,34,327.4,82,4,9,13,7,8,15,-2,-0.17,30,378:53,31:34,47,50,50,334,75,6.2,41,19,107,1.58,51,47,43,1,0,13,1,368,30.7,32,34,26,2,0,9,0,261,21.8,42,486,2193,4.51,22,182.8,43,414,1642,3.97,16,136.8,42,45,22,10,7,39,0.867,129,33,14,12,5,31,0.939,89,8,69,0,8.62,89,8,69,0,8.62,106,304,192,8,2399,7.89,12.49,22,199.9,20,201,346,2287,17,6.61,11.38,190.6,81,17,329,0,19.35,28,17,44,304,0,17.88,20,93,95,23,211,20,93,95,23,211,23,56,510,42.5,24,157,72,0.459,50,56,153,0.366,105,6,15,0.4,38,9,20,0.45
"Boise St. (Mountain West)",74,13,9-4,864,4962,5.74,43,381.7,6,786,3660,4.66,25,29,281.5,67,5,13,18,8,9,17,1,0.08,52,397:06,30:33,62,58,36,324,76,5.8,18,14,111,1.08,61,45,45,0,0,21,0,378,29.1,11,29,28,0,0,13,0,241,18.5,38,501,2431,4.85,24,187.0,24,460,1571,3.42,14,120.8,41,53,18,14,14,46,0.868,23,31,12,1,11,24,0.774,131,10,187,3,18.7,131,10,187,3,18.7,109,363,216,9,2531,6.97,11.72,19,194.7,5,168,326,2089,11,6.41,12.43,160.7,21,22,494,0,22.45,79,36,37,748,1,20.78,6,90,79,12,181,6,90,79,12,181,37,70,605,46.54,57,178,71,0.399,10,54,182,0.297,29,9,15,0.6,38,9,20,0.45
"South Carolina (SEC)",75,12,8-4,761,4573,6.01,47,381.1,79,846,4703,5.56,41,42,391.9,103,8,12,20,12,13,25,-5,-0.42,82,349:36,29:08,115,42,24,230,54,4.5,82,28,173,2.33,45,50,40,5,0,10,0,380,31.7,78,42,39,1,0,11,2,330,27.5,100,389,1480,3.8,27,123.3,113,476,2309,4.85,20,192.4,66,51,24,12,7,43,0.843,69,49,18,15,8,41,0.837,29,19,85,0,4.47,29,19,85,0,4.47,42,372,250,13,3093,8.31,12.37,20,257.8,27,198,370,2394,21,6.47,12.09,199.5,6,21,526,1,25.05,23,18,44,310,0,17.22,99,125,109,31,265,99,125,109,31,265,112,82,756,63.0,64,145,57,0.393,96,68,163,0.417,29,12,20,0.6,78,9,17,0.529
"Auburn (SEC)",76,12,5-7,796,4542,5.71,34,378.5,81,859,4743,5.52,43,45,395.2,124,7,6,13,12,12,24,-11,-0.92,66,358:02,29:50,88,54,16,269,62,5.2,92,32,196,2.67,88,35,31,1,0,18,0,297,24.8,96,45,42,0,0,14,0,354,29.5,19,488,2470,5.06,25,205.8,97,447,2072,4.64,28,172.7,30,42,18,6,13,37,0.881,111,46,24,7,10,41,0.891,23,10,41,0,4.1,23,10,41,0,4.1,118,308,159,12,2072,6.73,13.03,9,172.7,64,238,412,2671,15,6.48,11.22,222.6,112,23,396,0,17.22,103,31,16,694,1,22.39,63,109,119,17,245,63,109,119,17,245,87,90,688,57.33,100,178,64,0.36,108,76,179,0.425,35,13,22,0.591,62,6,12,0.5
"Buffalo (MAC)",77,12,6-6,921,4517,4.9,38,376.4,77,781,4690,6.01,40,42,390.8,11,14,12,26,9,8,17,9,0.75,20,387:40,32:18,34,57,44,308,79,6.6,85,30,181,2.5,62,41,39,0,0,21,0,348,29.0,74,42,37,1,0,11,1,326,27.2,73,496,1723,3.47,21,143.6,99,418,2096,5.01,23,174.7,18,40,16,10,10,36,0.9,87,43,17,12,8,37,0.86,121,16,228,0,14.25,121,16,228,0,14.25,62,425,252,8,2794,6.57,11.09,17,232.8,54,205,363,2594,17,7.15,12.65,216.2,55,31,641,0,20.68,115,23,40,543,1,23.61,31,89,109,25,223,31,89,109,25,223,60,69,635,52.92,91,193,71,0.368,34,54,158,0.342,34,22,37,0.595,21,10,25,0.4
"Washington St. (Pac-12)",78,12,7-5,807,4506,5.58,40,375.5,80,827,4729,5.72,32,34,394.1,37,9,12,21,9,8,17,4,0.33,115,332:52,27:44,50,53,42,318,74,6.2,119,40,270,3.33,72,43,40,1,0,11,0,333,27.8,33,34,27,1,0,12,0,269,22.4,113,339,1344,3.96,16,112.0,35,403,1529,3.79,15,127.4,10,47,15,19,9,43,0.915,24,40,13,9,9,31,0.775,21,14,55,0,3.93,21,14,55,0,3.93,35,468,301,8,3162,6.76,10.5,24,263.5,113,262,424,3200,17,7.55,12.21,266.7,18,23,519,0,22.57,95,18,38,391,0,21.72,55,99,123,17,239,55,99,123,17,239,30,63,537,44.75,86,162,60,0.37,57,62,167,0.371,82,12,26,0.462,21,12,30,0.4
"Troy (Sun Belt)",79,13,11-2,832,4878,5.86,39,375.2,19,902,4229,4.69,28,28,325.3,53,11,11,22,6,13,19,3,0.23,60,393:45,30:17,66,49,52,348,75,5.8,110,40,239,3.08,80,42,40,0,0,16,0,340,26.2,8,28,22,0,0,12,1,228,17.5,106,455,1591,3.5,20,122.4,22,460,1531,3.33,15,117.8,94,45,16,8,12,36,0.8,56,38,14,8,9,31,0.816,61,16,108,0,6.75,61,16,108,0,6.75,47,377,238,13,3287,8.72,13.81,19,252.8,38,267,442,2698,13,6.1,10.1,207.5,99,17,306,0,18.0,41,22,42,405,0,18.41,85,103,130,23,256,85,103,130,23,256,58,74,678,52.15,109,161,55,0.342,84,78,193,0.404,18,16,25,0.64,82,14,26,0.538
"NIU (MAC)",80,12,3-9,806,4477,5.55,37,373.1,82,807,4748,5.88,46,50,395.7,37,12,8,20,2,14,16,4,0.33,45,368:55,30:45,82,50,28,284,64,5.3,10,12,81,1.0,75,39,31,4,0,18,0,327,27.2,113,50,49,0,0,14,1,393,32.8,36,478,2285,4.78,19,190.4,52,446,1714,3.84,14,142.8,18,40,12,12,12,36,0.9,123,47,14,18,11,43,0.915,56,12,78,0,6.5,56,12,78,0,6.5,116,328,185,14,2192,6.68,11.85,18,182.7,100,224,361,3034,32,8.4,13.54,252.8,120,26,434,0,16.69,3,36,17,516,0,14.33,102,97,143,27,267,102,97,143,27,267,110,76,750,62.5,65,171,67,0.392,115,72,164,0.439,92,10,23,0.435,115,14,22,0.636
"Akron (MAC)",81,12,2-10,875,4472,5.11,31,372.7,92,813,4874,6.0,47,51,406.2,128,4,9,13,14,12,26,-13,-1.08,54,365:50,30:29,105,43,30,201,58,4.8,130,55,379,4.58,108,32,28,0,0,13,1,261,21.8,117,51,48,0,0,16,0,402,33.5,126,373,1075,2.88,16,89.6,84,458,1949,4.26,25,162.4,49,43,14,10,13,37,0.86,80,53,23,10,12,45,0.849,72,19,141,0,7.42,72,19,141,0,7.42,21,502,323,12,3397,6.77,10.52,15,283.1,93,213,355,2925,22,8.24,13.73,243.8,34,43,927,0,21.56,52,36,10,681,0,18.92,82,111,118,24,253,82,111,118,24,253,99,80,721,60.08,108,171,59,0.345,40,57,162,0.352,76,11,23,0.478,125,17,25,0.68
"Missouri (SEC)",82,12,6-6,804,4452,5.54,32,371.0,28,769,4045,5.26,33,37,337.1,91,7,10,17,11,9,20,-3,-0.25,7,401:39,33:28,8,77,24,318,89,7.4,58,23,140,1.92,83,35,31,1,0,21,0,306,25.5,57,37,36,0,0,14,0,300,25.0,62,458,1904,4.16,19,158.7,34,412,1526,3.7,18,127.2,103,44,18,8,9,35,0.795,122,35,16,7,9,32,0.914,126,13,204,1,15.69,126,13,204,1,15.69,91,346,220,9,2548,7.36,11.58,13,212.3,42,212,357,2519,15,7.06,11.88,209.9,129,12,177,0,14.75,1,11,52,150,0,13.64,27,92,104,24,220,27,92,104,24,220,106,92,743,61.92,66,174,68,0.391,28,58,171,0.339,56,8,15,0.533,91,12,21,0.571
"Rice (C-USA)",83,12,5-7,792,4442,5.61,37,370.2,67,727,4529,6.23,45,52,377.4,129,8,8,16,11,19,30,-14,-1.17,13,393:50,32:49,120,42,22,230,53,4.4,85,30,196,2.5,85,39,35,1,0,11,0,304,25.3,119,52,50,1,0,14,0,406,33.8,75,428,1717,4.01,17,143.1,92,401,2006,5.0,19,167.2,84,43,16,9,10,35,0.814,100,49,14,20,9,43,0.878,96,15,140,1,9.33,96,15,140,1,9.33,72,364,213,19,2725,7.49,12.79,20,227.1,44,201,326,2523,26,7.74,12.55,210.2,104,22,389,0,17.68,114,22,31,519,0,23.59,36,93,106,25,224,36,93,106,25,224,59,69,626,52.17,42,158,66,0.418,105,64,151,0.424,63,13,26,0.5,51,9,19,0.474
"Iowa St. (Big 12)",84,12,4-8,872,4437,5.09,29,369.8,7,725,3427,4.73,28,30,285.6,113,8,7,15,7,15,22,-7,-0.58,19,388:02,32:20,82,44,40,245,64,5.3,71,26,193,2.17,114,29,27,1,0,13,0,242,20.2,21,30,30,0,0,11,0,243,20.2,117,393,1296,3.3,10,108.0,17,403,1288,3.2,8,107.3,127,44,9,13,9,31,0.705,118,32,7,15,7,29,0.906,5,10,22,0,2.2,5,10,22,0,2.2,37,479,313,15,3141,6.56,10.04,19,261.8,11,190,322,2139,20,6.64,11.26,178.2,123,21,348,0,16.57,67,37,13,745,0,20.14,10,79,90,19,188,10,79,90,19,188,35,67,553,46.08,41,191,80,0.419,6,45,156,0.288,45,15,27,0.556,104,10,17,0.588
"Louisiana (Sun Belt)",85,12,6-6,834,4415,5.29,36,367.9,48,823,4339,5.27,33,35,361.6,23,8,15,23,7,9,16,7,0.58,70,354:55,29:35,102,42,34,220,59,4.9,58,23,118,1.92,77,39,37,0,1,17,0,324,27.0,37,35,27,1,0,11,1,274,22.8,76,423,1716,4.06,10,143.0,50,426,1707,4.01,18,142.2,112,41,9,14,9,32,0.78,110,36,14,9,9,32,0.889,52,16,97,0,6.06,52,16,97,0,6.06,75,411,232,9,2699,6.57,11.63,26,224.9,59,226,397,2632,15,6.63,11.65,219.3,64,22,439,0,19.95,9,30,20,497,0,16.57,38,93,108,25,226,38,93,108,25,226,72,80,660,55.0,66,174,68,0.391,87,72,177,0.407,84,14,31,0.452,56,11,23,0.478
"Central Mich. (MAC)",86,12,4-8,834,4407,5.28,38,367.2,64,865,4473,5.17,41,44,372.8,130,6,4,10,18,10,28,-18,-1.5,107,338:48,28:14,4,78,44,415,100,8.3,88,31,215,2.58,88,40,27,6,0,6,0,297,24.8,83,44,39,2,0,9,2,338,28.2,61,444,1910,4.3,22,159.2,68,478,1795,3.76,20,149.6,122,42,19,10,2,31,0.738,22,44,13,15,6,34,0.773,71,11,81,0,7.36,71,11,81,0,7.36,98,390,219,10,2497,6.4,11.4,16,208.1,66,230,387,2678,21,6.92,11.64,223.2,44,33,701,0,21.24,29,21,23,376,0,17.9,67,105,126,16,247,67,105,126,16,247,113,84,758,63.17,104,169,60,0.355,23,60,182,0.33,51,18,33,0.545,44,12,26,0.462
"Miami (FL) (ACC)",87,12,5-7,827,4405,5.33,30,367.1,66,761,4518,5.94,38,40,376.5,91,8,14,22,13,12,25,-3,-0.25,46,368:30,30:42,18,62,44,289,84,7.0,106,36,274,3.0,98,33,32,1,0,17,0,283,23.6,68,40,40,0,0,13,1,321,26.8,95,414,1537,3.71,12,128.1,53,426,1715,4.03,18,142.9,85,48,12,14,13,39,0.812,63,47,17,10,12,39,0.83,19,15,57,0,3.8,19,15,57,0,3.8,57,413,255,12,2868,6.94,11.25,18,239.0,82,204,335,2803,20,8.37,13.74,233.6,3,35,930,1,26.57,38,13,37,237,0,18.23,31,94,107,22,223,31,94,107,22,223,98,85,720,60.0,53,166,67,0.404,100,68,162,0.42,103,9,22,0.409,105,9,15,0.6
"Army West Point (FBS Independent)",88,12,6-6,752,4393,5.84,43,366.1,45,748,4308,5.76,34,34,359.0,37,7,10,17,9,4,13,4,0.33,29,379:39,31:38,122,31,42,187,52,4.3,10,12,85,1.0,65,46,43,0,0,8,0,343,28.6,34,34,33,0,0,11,0,270,22.5,2,648,3473,5.36,38,289.4,120,473,2388,5.05,19,199.0,37,39,26,1,7,34,0.872,17,43,15,10,8,33,0.767,54,8,50,0,6.25,54,8,50,0,6.25,130,104,42,4,920,8.85,21.9,5,76.7,4,167,275,1920,15,6.98,11.5,160.0,107,12,211,0,17.58,12,23,32,387,0,16.83,44,125,93,14,232,44,125,93,14,232,14,58,467,38.92,32,159,69,0.434,67,55,142,0.387,56,16,30,0.533,53,10,21,0.476
"Syracuse (ACC)",89,12,7-5,729,4390,6.02,38,365.8,29,823,4057,4.93,32,34,338.1,23,9,10,19,4,8,12,7,0.58,113,335:08,27:56,50,58,32,300,74,6.2,121,41,252,3.42,67,41,38,1,0,18,0,340,28.3,36,34,28,1,0,12,1,272,22.7,80,410,1705,4.16,19,142.1,65,470,1792,3.81,16,149.3,42,45,16,11,12,39,0.867,83,41,13,12,10,35,0.854,76,19,146,0,7.68,76,19,146,0,7.68,76,319,196,8,2685,8.42,13.7,19,223.8,19,235,353,2265,16,6.42,9.64,188.8,2,16,426,0,26.62,78,23,42,475,0,20.65,51,116,106,15,237,51,116,106,15,237,117,105,777,64.75,98,138,50,0.362,81,65,163,0.399,105,4,10,0.4,40,10,22,0.455
"California (Pac-12)",90,12,4-8,785,4375,5.57,33,364.6,109,883,5143,5.82,42,43,428.6,28,7,11,18,3,9,12,6,0.5,97,344:30,28:42,120,38,30,201,53,4.4,88,31,251,2.58,96,36,31,2,0,12,0,287,23.9,80,43,39,2,0,11,0,334,27.8,123,319,1159,3.63,10,96.6,64,426,1789,4.2,19,149.1,76,40,8,16,9,33,0.825,49,48,17,16,6,39,0.812,101,23,228,1,9.91,101,23,228,1,9.91,29,466,291,9,3216,6.9,11.05,23,268.0,123,300,457,3354,23,7.34,11.18,279.5,99,19,342,0,18.0,63,23,29,456,0,19.83,114,107,162,12,281,114,107,162,12,281,28,63,535,44.58,105,167,59,0.353,73,66,169,0.391,62,12,23,0.522,97,15,26,0.577
"Wisconsin (Big Ten)",91,12,6-6,754,4353,5.77,39,362.8,13,762,3665,4.81,30,31,305.4,55,3,15,18,6,10,16,2,0.17,51,366:41,30:33,34,61,36,311,79,6.6,66,25,157,2.08,78,41,39,0,0,11,0,318,26.5,27,31,30,0,0,10,0,246,20.5,53,454,2079,4.58,19,173.2,12,417,1238,2.97,14,103.2,63,39,13,12,8,33,0.846,18,39,13,10,7,30,0.769,95,20,181,0,9.05,95,20,181,0,9.05,112,300,172,10,2274,7.58,13.22,20,189.5,29,208,345,2427,16,7.03,11.67,202.2,28,23,508,0,22.09,5,21,32,323,0,15.38,12,67,111,19,197,12,67,111,19,197,101,79,731,60.92,45,155,64,0.413,24,55,166,0.331,110,5,13,0.385,53,10,21,0.476
"Utah St. (Mountain West)",92,12,6-6,890,4345,4.88,31,362.1,84,826,4759,5.76,41,44,396.6,113,6,11,17,6,18,24,-7,-0.58,79,350:26,29:12,31,49,62,252,80,6.7,71,26,133,2.17,99,35,32,1,0,11,1,279,23.2,103,44,40,3,0,19,0,367,30.6,59,515,1943,3.77,14,161.9,118,483,2378,4.92,17,198.2,128,37,10,8,8,26,0.703,125,43,12,17,11,40,0.93,42,14,78,0,5.57,42,14,78,0,5.57,105,375,215,18,2402,6.41,11.17,17,200.2,25,184,343,2381,24,6.94,12.94,198.4,96,26,479,1,18.42,56,22,21,427,0,19.41,78,119,106,27,252,78,119,106,27,252,131,103,953,79.42,115,188,61,0.324,85,70,173,0.405,58,18,34,0.529,91,8,14,0.571
"Stanford (Pac-12)",93,12,3-9,824,4339,5.27,29,361.6,112,794,5209,6.56,47,50,434.1,122,5,6,11,13,8,21,-10,-0.83,64,358:49,29:54,71,52,30,266,67,5.6,121,41,209,3.42,109,29,24,2,0,18,0,256,21.3,111,50,45,1,0,13,0,386,32.2,118,376,1288,3.43,14,107.3,127,443,2693,6.08,25,224.4,39,31,13,8,6,27,0.871,26,45,14,12,9,35,0.778,66,22,154,0,7.0,66,22,154,0,7.0,46,448,275,8,3051,6.81,11.09,15,254.2,41,203,351,2516,22,7.17,12.39,209.7,71,45,888,0,19.73,21,11,40,188,0,17.09,99,135,107,23,265,99,135,107,23,265,19,55,495,41.25,79,164,62,0.378,35,53,155,0.342,61,11,21,0.524,131,17,23,0.739
"Texas A&M (SEC)",94,12,5-7,757,4331,5.72,30,360.9,52,847,4380,5.17,28,31,365.0,77,12,4,16,11,6,17,-1,-0.08,114,334:22,27:52,59,57,28,241,71,5.9,66,25,151,2.08,102,33,31,1,0,14,0,273,22.8,28,30,29,0,0,13,0,248,20.7,82,366,1698,4.64,12,141.5,124,520,2506,4.82,13,208.8,24,38,11,12,11,34,0.895,8,44,12,10,10,32,0.727,28,13,58,0,4.46,28,13,58,0,4.46,83,391,220,6,2633,6.73,11.97,18,219.4,1,184,327,1874,15,5.73,10.18,156.2,26,23,510,1,22.17,131,6,47,200,1,33.33,71,129,95,25,249,71,129,95,25,249,49,76,589,49.08,101,153,55,0.359,44,62,174,0.356,117,4,11,0.364,62,11,22,0.5
"Eastern Mich. (MAC)",95,12,8-4,824,4323,5.25,43,360.2,54,801,4403,5.5,42,43,366.9,69,7,10,17,6,11,17,0,0.0,36,373:34,31:08,115,42,24,220,54,4.5,84,29,218,2.42,64,44,43,0,0,13,0,346,28.8,89,43,37,0,0,16,0,343,28.6,78,462,1710,3.7,22,142.5,80,447,1897,4.24,22,158.1,3,45,21,13,9,43,0.956,128,46,17,14,12,43,0.935,41,18,100,0,5.56,41,18,100,0,5.56,85,362,226,11,2613,7.22,11.56,21,217.8,39,200,354,2506,20,7.08,12.53,208.8,77,37,722,1,19.51,83,35,28,738,0,21.09,76,101,113,37,251,76,101,113,37,251,130,101,925,77.08,28,162,73,0.451,110,70,163,0.429,108,9,23,0.391,118,11,17,0.647
"San Jose St. (Mountain West)",96,11,7-4,703,3921,5.58,38,356.5,26,733,3663,5.0,25,28,333.0,4,5,13,18,2,4,6,12,1.09,96,316:08,28:44,10,67,28,314,81,7.4,127,40,283,3.64,74,38,34,1,0,12,1,302,27.5,22,28,24,1,0,9,1,223,20.3,124,318,1017,3.2,18,92.5,28,412,1349,3.27,12,122.6,71,48,16,12,12,40,0.833,6,35,11,8,6,25,0.714,118,8,105,1,13.12,118,8,105,1,13.12,34,385,234,4,2904,7.54,12.41,20,264.0,45,195,321,2314,13,7.21,11.87,210.4,116,21,358,0,17.05,6,34,10,532,2,15.65,16,82,106,15,203,16,82,106,15,203,46,64,532,48.36,96,137,50,0.365,74,61,156,0.391,80,7,15,0.467,100,14,24,0.583
