Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Baylor (Big 12),13,11-2,91,88,1,0,15,0,681,52.4
Florida St. (ACC),14,14-0,94,94,0,0,21,1,723,51.6
Ohio St. (Big Ten),14,12-2,87,80,2,0,9,2,637,45.5
Oregon (Pac-12),13,11-2,81,71,2,0,10,0,591,45.5
Texas A&M (SEC),13,9-4,78,73,0,0,10,2,575,44.2
Fresno St. (Mountain West),13,11-2,76,71,1,0,11,1,564,43.4
Marshall (C-USA),14,10-4,80,77,0,0,11,0,590,42.1
East Carolina (C-USA),13,10-3,68,64,1,0,16,0,522,40.2
Clemson (ACC),13,11-2,69,66,0,0,14,0,522,40.2
Arizona St. (Pac-12),14,10-4,69,63,1,0,25,1,556,39.7
NIU (MAC),14,12-2,71,69,0,0,20,0,555,39.6
Auburn (SEC),14,12-2,73,66,2,0,15,0,553,39.5
Missouri (SEC),14,12-2,71,66,1,0,18,0,548,39.1
Oklahoma St. (Big 12),13,10-3,68,67,0,0,11,0,508,39.1
Ball St. (MAC),13,10-3,64,60,0,0,19,0,501,38.5
Indiana (Big Ten),12,5-7,62,56,2,0,9,1,461,38.4
Alabama (SEC),13,11-2,65,65,0,0,13,1,496,38.2
Washington (Pac-12),13,9-4,64,62,0,0,15,1,493,37.9
Boise St. (Mountain West),13,8-5,63,57,1,0,17,0,488,37.5
UCLA (Pac-12),13,10-3,63,60,0,0,14,0,480,36.9
Georgia (SEC),13,8-5,58,57,0,0,24,0,477,36.7
Colorado St. (Mountain West),14,8-6,63,58,3,0,21,1,507,36.2
LSU (SEC),13,10-3,61,60,0,0,13,0,465,35.8
Texas Tech (Big 12),13,8-5,57,52,0,0,23,1,465,35.8
Louisville (AAC),13,12-1,57,55,0,0,20,0,457,35.2
Georgia Tech (ACC),13,7-6,61,60,0,0,10,0,456,35.1
Wisconsin (Big Ten),13,9-4,59,57,0,0,14,0,453,34.8
Bowling Green (MAC),14,10-4,62,59,1,0,18,0,487,34.8
Oregon St. (Pac-12),13,7-6,59,50,2,0,14,1,452,34.8
UCF (AAC),13,12-1,55,53,1,0,21,1,450,34.6
Troy (Sun Belt),12,6-6,54,50,1,0,11,0,409,34.1
South Carolina (SEC),13,11-2,57,54,1,0,15,0,443,34.1
Miami (FL) (ACC),13,9-4,57,57,0,0,13,1,440,33.8
Louisiana (Sun Belt),13,9-4,59,54,2,0,9,0,439,33.8
Navy (FBS Independent),13,9-4,58,51,2,0,11,0,436,33.5
Arizona (Pac-12),13,8-5,57,53,1,0,12,1,435,33.5
Kansas St. (Big 12),13,8-5,56,52,1,0,14,0,432,33.2
Houston (AAC),13,8-5,54,52,1,0,17,1,431,33.2
Toledo (MAC),12,7-5,49,45,0,0,19,0,396,33.0
Oklahoma (Big 12),13,11-2,50,47,1,1,24,2,427,32.8
Duke (ACC),14,10-4,60,58,1,0,13,0,459,32.8
New Mexico (Mountain West),12,3-9,53,49,1,0,8,0,393,32.8
North Carolina (ACC),13,7-6,55,49,1,0,14,1,425,32.7
San Jose St. (Mountain West),12,6-6,46,39,4,0,22,0,389,32.4
Stanford (Pac-12),14,11-3,56,54,0,0,20,1,452,32.3
Michigan (Big Ten),13,7-6,52,49,2,0,18,0,419,32.2
Cincinnati (AAC),13,9-4,57,54,0,0,7,0,417,32.1
Nebraska (Big Ten),13,9-4,54,50,0,0,13,1,415,31.9
North Texas (C-USA),13,9-4,55,50,2,0,10,0,414,31.8
Utah St. (Mountain West),14,9-5,56,53,1,0,18,0,445,31.8
Wyoming (Mountain West),12,5-7,52,47,2,0,4,0,375,31.3
Washington St. (Pac-12),13,6-7,51,49,0,0,16,0,403,31.0
Western Ky. (Sun Belt),12,8-4,47,45,0,0,13,2,370,30.8
Buffalo (MAC),13,8-5,51,45,0,0,13,2,394,30.3
BYU (FBS Independent),13,8-5,47,45,0,0,21,1,392,30.2
Vanderbilt (SEC),13,9-4,49,48,1,1,15,0,391,30.1
Ole Miss (SEC),13,8-5,49,44,1,0,16,1,390,30.0
UNLV (Mountain West),13,7-6,52,45,1,0,10,0,389,29.9
San Diego St. (Mountain West),13,8-5,52,39,4,1,8,1,387,29.8
Southern California (Pac-12),14,10-4,53,49,1,0,15,1,416,29.7
Illinois (Big Ten),12,4-8,45,40,4,0,12,1,356,29.7
Rice (C-USA),14,10-4,54,47,0,0,14,1,415,29.6
South Alabama (Sun Belt),12,6-6,43,37,2,0,18,0,353,29.4
Michigan St. (Big Ten),14,13-1,51,48,0,0,19,0,411,29.4
Texas (Big 12),13,8-5,46,45,0,0,20,0,381,29.3
Utah (Pac-12),12,5-7,43,41,0,0,17,0,350,29.2
Arkansas St. (Sun Belt),13,8-5,48,46,0,0,15,0,379,29.2
Middle Tenn. (C-USA),13,8-5,49,47,0,0,12,0,377,29.0
Penn St. (Big Ten),12,7-5,43,41,0,0,15,0,344,28.7
Mississippi St. (SEC),13,7-6,48,40,1,0,10,0,360,27.7
Boston College (ACC),13,7-6,43,40,1,0,20,0,360,27.7
Hawaii (Mountain West),12,1-11,44,36,3,0,7,1,329,27.4
Ohio (MAC),13,7-6,43,42,0,0,18,1,356,27.4
Notre Dame (FBS Independent),13,9-4,42,42,0,0,20,0,354,27.2
Nevada (Mountain West),12,4-8,41,33,1,0,14,0,323,26.9
SMU (AAC),12,5-7,38,33,2,0,18,1,321,26.8
Rutgers (AAC),13,6-7,44,40,1,0,13,0,345,26.5
Fla. Atlantic (C-USA),12,6-6,41,36,1,0,11,0,317,26.4
West Virginia (Big 12),12,4-8,38,35,0,0,17,1,316,26.3
Iowa (Big Ten),13,8-5,42,42,0,0,16,0,342,26.3
Pittsburgh (ACC),13,7-6,43,40,1,0,14,0,342,26.3
UAB (C-USA),12,2-10,38,35,2,0,16,0,315,26.3
Northwestern (Big Ten),12,5-7,35,35,0,0,23,0,314,26.2
Maryland (ACC),13,7-6,39,37,0,1,21,2,340,26.2
Minnesota (Big Ten),13,8-5,42,36,2,0,14,0,334,25.7
Colorado (Pac-12),12,4-8,36,30,4,0,17,0,305,25.4
TCU (Big 12),12,4-8,37,37,0,0,14,0,301,25.1
Temple (AAC),12,2-10,42,34,2,0,3,0,299,24.9
Iowa St. (Big 12),12,3-9,37,35,1,0,13,0,298,24.8
Tulane (C-USA),13,7-6,39,38,0,0,16,1,322,24.8
Air Force (Mountain West),12,2-10,38,35,0,0,11,0,296,24.7
Army West Point (FBS Independent),12,3-9,38,37,1,0,8,1,293,24.4
Texas St. (Sun Belt),12,6-6,37,34,2,0,9,0,287,23.9
Tennessee (SEC),12,5-7,35,34,0,0,14,0,286,23.8
Central Mich. (MAC),12,6-6,35,33,0,0,12,0,279,23.3
California (Pac-12),12,1-11,32,31,0,0,17,1,276,23.0
NC State (ACC),12,3-9,31,31,0,0,19,0,274,22.8
Syracuse (ACC),13,7-6,38,32,1,0,11,0,295,22.7
Virginia Tech (ACC),13,8-5,35,32,1,0,15,2,293,22.5
ULM (Sun Belt),12,6-6,36,34,1,0,5,0,267,22.3
UTEP (C-USA),12,2-10,34,32,1,0,7,1,261,21.8
Tulsa (C-USA),12,3-9,29,25,3,0,16,0,253,21.1
New Mexico St. (FBS Independent),12,2-10,32,29,0,0,10,0,251,20.9
Kent St. (MAC),12,4-8,31,29,2,0,10,0,249,20.8
Arkansas (SEC),12,3-9,30,29,0,0,13,0,248,20.7
UConn (AAC),12,3-9,31,27,2,0,10,0,247,20.6
Kentucky (SEC),12,2-10,30,28,0,0,12,1,246,20.5
Akron (MAC),12,5-7,31,29,0,0,9,0,242,20.2
Virginia (ACC),12,2-10,27,24,2,0,15,1,237,19.8
Memphis (AAC),12,3-9,27,24,0,0,16,0,234,19.5
Louisiana Tech (C-USA),12,4-8,25,22,1,0,18,1,230,19.2
Florida (SEC),12,4-8,27,24,1,0,12,1,226,18.8
Eastern Mich. (MAC),12,2-10,30,24,2,0,6,0,226,18.8
Wake Forest (ACC),12,4-8,28,26,1,0,8,0,220,18.3
Idaho (FBS Independent),12,1-11,27,26,0,0,10,0,218,18.2
Western Mich. (MAC),12,1-11,23,20,0,0,16,0,206,17.2
Southern Miss. (C-USA),12,1-11,24,24,0,0,11,2,205,17.1
Kansas (Big 12),12,3-9,22,19,0,0,11,0,184,15.3
Purdue (Big Ten),12,1-11,23,21,0,0,6,1,179,14.9
South Fla. (AAC),12,2-10,16,15,0,0,18,0,165,13.8
Massachusetts (MAC),12,1-11,15,14,0,0,12,0,140,11.7
Miami (OH) (MAC),12,0-12,14,12,0,0,7,0,117,9.8
FIU (C-USA),12,1-11,13,12,0,0,9,0,117,9.8
Old Dominion (FBS Independent),12,8-4,67,65,1,0,13,0,508,42.3
Ga. Southern (FBS Independent),11,7-4,50,43,1,0,7,1,368,33.5
UTSA (C-USA),12,7-5,39,38,1,0,11,0,307,25.6
App State (FBS Independent),12,4-8,35,32,1,0,13,0,283,23.6
Georgia St. (Sun Belt),12,0-12,29,27,0,0,8,0,225,18.8
