Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Houston (AAC),13,8-5,18,25,43,8,10,18,25,1.92
Louisville (AAC),13,12-1,11,16,27,6,4,10,17,1.31
Florida St. (ACC),14,14-0,9,26,35,5,13,18,17,1.21
Oklahoma St. (Big 12),13,10-3,12,21,33,5,13,18,15,1.15
Missouri (SEC),14,12-2,12,20,32,8,8,16,16,1.14
Buffalo (MAC),13,8-5,14,15,29,7,8,15,14,1.08
Arizona St. (Pac-12),14,10-4,12,21,33,6,12,18,15,1.07
South Carolina (SEC),13,11-2,12,18,30,13,4,17,13,1.00
Baylor (Big 12),13,11-2,10,19,29,10,6,16,13,1.00
Michigan St. (Big Ten),14,13-1,11,17,28,8,7,15,13,0.93
NIU (MAC),14,12-2,11,19,30,9,8,17,13,0.93
Navy (FBS Independent),13,9-4,9,13,22,6,4,10,12,0.92
Ball St. (MAC),13,10-3,18,13,31,11,8,19,12,0.92
Middle Tenn. (C-USA),13,8-5,18,15,33,6,15,21,12,0.92
North Texas (C-USA),13,9-4,16,18,34,9,14,23,11,0.85
Tulane (C-USA),13,7-6,16,19,35,8,16,24,11,0.85
Oregon (Pac-12),13,11-2,11,17,28,12,6,18,10,0.77
UCLA (Pac-12),13,10-3,12,14,26,7,9,16,10,0.77
Bowling Green (MAC),14,10-4,13,8,21,4,7,11,10,0.71
Utah St. (Mountain West),14,9-5,12,17,29,9,10,19,10,0.71
Oklahoma (Big 12),13,11-2,8,16,24,5,11,16,8,0.62
East Carolina (C-USA),13,10-3,6,18,24,6,10,16,8,0.62
Nevada (Mountain West),12,4-8,8,10,18,6,5,11,7,0.58
Mississippi St. (SEC),13,7-6,11,14,25,6,12,18,7,0.54
Virginia Tech (ACC),13,8-5,7,19,26,4,15,19,7,0.54
Arkansas St. (Sun Belt),13,8-5,12,9,21,7,7,14,7,0.54
Washington (Pac-12),13,9-4,7,16,23,8,8,16,7,0.54
Rice (C-USA),14,10-4,12,14,26,10,9,19,7,0.50
Clemson (ACC),13,11-2,12,18,30,12,12,24,6,0.46
Vanderbilt (SEC),13,9-4,11,18,29,7,16,23,6,0.46
South Alabama (Sun Belt),12,6-6,7,11,18,4,9,13,5,0.42
Michigan (Big Ten),13,7-6,9,17,26,8,13,21,5,0.38
Miami (FL) (ACC),13,9-4,9,18,27,8,14,22,5,0.38
UCF (AAC),13,12-1,12,14,26,10,11,21,5,0.38
UNLV (Mountain West),13,7-6,9,11,20,5,10,15,5,0.38
Ohio St. (Big Ten),14,12-2,8,16,24,10,9,19,5,0.36
Southern California (Pac-12),14,10-4,5,17,22,8,9,17,5,0.36
Toledo (MAC),12,7-5,12,8,20,6,10,16,4,0.33
Texas (Big 12),13,8-5,16,10,26,7,15,22,4,0.31
Arizona (Pac-12),13,8-5,4,18,22,11,7,18,4,0.31
Northwestern (Big Ten),12,5-7,4,19,23,7,13,20,3,0.25
Boston College (ACC),13,7-6,11,9,20,9,8,17,3,0.23
Boise St. (Mountain West),13,8-5,11,16,27,13,11,24,3,0.23
Minnesota (Big Ten),13,8-5,9,10,19,9,7,16,3,0.23
Oregon St. (Pac-12),13,7-6,10,19,29,10,16,26,3,0.23
Marshall (C-USA),14,10-4,8,18,26,13,10,23,3,0.21
Texas St. (Sun Belt),12,6-6,8,11,19,6,11,17,2,0.17
Syracuse (ACC),13,7-6,9,15,24,5,17,22,2,0.15
Fresno St. (Mountain West),13,11-2,9,14,23,11,10,21,2,0.15
Alabama (SEC),13,11-2,8,11,19,10,7,17,2,0.15
BYU (FBS Independent),13,8-5,10,13,23,7,14,21,2,0.15
North Carolina (ACC),13,7-6,7,13,20,7,11,18,2,0.15
Colorado St. (Mountain West),14,8-6,12,10,22,9,11,20,2,0.14
Kansas (Big 12),12,3-9,10,14,24,11,12,23,1,0.08
Tennessee (SEC),12,5-7,11,14,25,7,17,24,1,0.08
Wisconsin (Big Ten),13,9-4,11,9,20,4,15,19,1,0.08
Louisiana (Sun Belt),13,9-4,9,14,23,8,14,22,1,0.08
Texas A&M (SEC),13,9-4,5,17,22,8,13,21,1,0.08
Ole Miss (SEC),13,8-5,9,13,22,8,13,21,1,0.08
Duke (ACC),14,10-4,8,18,26,6,19,25,1,0.07
Kansas St. (Big 12),13,8-5,8,17,25,12,13,25,0,0.00
Kentucky (SEC),12,2-10,12,3,15,9,6,15,0,0.00
LSU (SEC),13,10-3,8,11,19,10,9,19,0,0.00
Auburn (SEC),14,12-2,6,13,19,11,8,19,0,0.00
Stanford (Pac-12),14,11-3,6,13,19,9,10,19,0,0.00
NC State (ACC),12,3-9,9,12,21,6,15,21,0,0.00
Notre Dame (FBS Independent),13,9-4,4,13,17,4,13,17,0,0.00
Iowa (Big Ten),13,8-5,8,13,21,7,15,22,-1,-0.08
Pittsburgh (ACC),13,7-6,8,8,16,8,9,17,-1,-0.08
Iowa St. (Big 12),12,3-9,13,8,21,8,14,22,-1,-0.08
UConn (AAC),12,3-9,11,13,24,7,18,25,-1,-0.08
Army West Point (FBS Independent),12,3-9,9,7,16,13,4,17,-1,-0.08
Ohio (MAC),13,7-6,8,14,22,11,13,24,-2,-0.15
Florida (SEC),12,4-8,8,10,18,11,9,20,-2,-0.17
Penn St. (Big Ten),12,7-5,7,13,20,12,10,22,-2,-0.17
TCU (Big 12),12,4-8,9,19,28,13,17,30,-2,-0.17
Wake Forest (ACC),12,4-8,9,12,21,9,14,23,-2,-0.17
Akron (MAC),12,5-7,6,13,19,11,10,21,-2,-0.17
Miami (OH) (MAC),12,0-12,8,10,18,10,11,21,-3,-0.25
Fla. Atlantic (C-USA),12,6-6,6,13,19,11,11,22,-3,-0.25
Indiana (Big Ten),12,5-7,10,7,17,6,14,20,-3,-0.25
Colorado (Pac-12),12,4-8,11,10,21,9,15,24,-3,-0.25
Louisiana Tech (C-USA),12,4-8,8,18,26,14,15,29,-3,-0.25
Purdue (Big Ten),12,1-11,6,13,19,9,13,22,-3,-0.25
Georgia Tech (ACC),13,7-6,6,14,20,11,13,24,-4,-0.31
South Fla. (AAC),12,2-10,13,11,24,12,16,28,-4,-0.33
New Mexico (Mountain West),12,3-9,6,4,10,9,5,14,-4,-0.33
West Virginia (Big 12),12,4-8,16,12,28,16,16,32,-4,-0.33
ULM (Sun Belt),12,6-6,6,13,19,9,14,23,-4,-0.33
Kent St. (MAC),12,4-8,4,9,13,8,9,17,-4,-0.33
Wyoming (Mountain West),12,5-7,11,9,20,12,12,24,-4,-0.33
Air Force (Mountain West),12,2-10,5,4,9,9,4,13,-4,-0.33
Washington St. (Pac-12),13,6-7,14,16,30,11,24,35,-5,-0.38
Virginia (ACC),12,2-10,11,10,21,9,17,26,-5,-0.42
San Jose St. (Mountain West),12,6-6,5,12,17,8,14,22,-5,-0.42
Central Mich. (MAC),12,6-6,8,14,22,10,17,27,-5,-0.42
New Mexico St. (FBS Independent),12,2-10,10,10,20,13,13,26,-6,-0.50
FIU (C-USA),12,1-11,7,7,14,10,10,20,-6,-0.50
UAB (C-USA),12,2-10,7,7,14,11,9,20,-6,-0.50
UTEP (C-USA),12,2-10,9,3,12,8,10,18,-6,-0.50
Temple (AAC),12,2-10,10,3,13,8,11,19,-6,-0.50
Georgia (SEC),13,8-5,8,7,15,10,12,22,-7,-0.54
Cincinnati (AAC),13,9-4,8,13,21,11,17,28,-7,-0.54
Maryland (ACC),13,7-6,10,11,21,18,10,28,-7,-0.54
Massachusetts (MAC),12,1-11,11,8,19,8,18,26,-7,-0.58
SMU (AAC),12,5-7,6,11,17,12,12,24,-7,-0.58
Troy (Sun Belt),12,6-6,5,6,11,10,9,19,-8,-0.67
Western Mich. (MAC),12,1-11,10,8,18,8,18,26,-8,-0.67
Memphis (AAC),12,3-9,7,11,18,15,11,26,-8,-0.67
Idaho (FBS Independent),12,1-11,9,10,19,14,13,27,-8,-0.67
Arkansas (SEC),12,3-9,6,8,14,12,11,23,-9,-0.75
Tulsa (C-USA),12,3-9,9,15,24,15,19,34,-10,-0.83
Illinois (Big Ten),12,4-8,8,3,11,7,14,21,-10,-0.83
Western Ky. (Sun Belt),12,8-4,7,14,21,15,16,31,-10,-0.83
Hawaii (Mountain West),12,1-11,15,9,24,12,22,34,-10,-0.83
Utah (Pac-12),12,5-7,12,3,15,4,21,25,-10,-0.83
San Diego St. (Mountain West),13,8-5,11,8,19,16,14,30,-11,-0.85
Nebraska (Big Ten),13,9-4,4,14,18,16,13,29,-11,-0.85
Rutgers (AAC),13,6-7,10,8,18,8,22,30,-12,-0.92
Eastern Mich. (MAC),12,2-10,4,7,11,9,14,23,-12,-1.00
Texas Tech (Big 12),13,8-5,11,8,19,15,18,33,-14,-1.08
California (Pac-12),12,1-11,8,5,13,14,14,28,-15,-1.25
Southern Miss. (C-USA),12,1-11,13,6,19,12,26,38,-19,-1.58
Old Dominion (FBS Independent),12,8-4,9,8,17,6,8,14,3,0.25
App State (FBS Independent),12,4-8,8,10,18,10,7,17,1,0.08
Ga. Southern (FBS Independent),11,7-4,2,10,12,13,4,17,-5,-0.45
UTSA (C-USA),12,7-5,6,8,14,8,13,21,-7,-0.58
Georgia St. (Sun Belt),12,0-12,8,6,14,11,12,23,-9,-0.75
