Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Sacred Heart (NEC),13,10-3,16,23,39,11,9,20,19,1.50
Montana (Big Sky),13,10-3,16,16,32,9,5,14,18,1.40
Liberty (Big South),12,8-4,7,19,26,4,7,11,15,1.30
Harvard (Ivy League),10,9-1,13,14,27,9,6,15,12,1.20
South Dakota St. (MVFC),14,9-5,11,22,33,10,8,18,15,1.10
Saint Francis (PA) (NEC),11,5-6,6,16,22,4,7,11,11,1.00
Princeton (Ivy League),10,8-2,7,16,23,8,5,13,10,1.00
Eastern Ill. (OVC),14,12-2,23,14,37,13,10,23,14,1.00
Furman (SoCon),14,8-6,16,13,29,7,10,17,12,0.90
Fordham (Patriot),14,12-2,19,21,40,15,13,28,12,0.90
Butler (Pioneer),13,9-4,18,15,33,9,13,22,11,0.80
Marist (Pioneer),11,8-3,7,16,23,4,10,14,9,0.80
Southern Utah (Big Sky),13,8-5,13,15,28,3,15,18,10,0.80
Alcorn (SWAC),12,9-3,10,17,27,11,7,18,9,0.80
Brown (Ivy League),10,6-4,9,13,22,10,5,15,7,0.70
Lamar University (Southland),12,5-7,7,16,23,7,8,15,8,0.70
Western Ill. (MVFC),12,4-8,12,16,28,4,16,20,8,0.70
N.C. A&T (MEAC),11,7-4,10,11,21,7,7,14,7,0.60
Mississippi Val. (SWAC),11,2-9,9,18,27,7,13,20,7,0.60
Mercer (Pioneer),12,10-2,11,12,23,9,7,16,7,0.60
Tennessee St. (OVC),14,10-4,10,21,31,20,4,24,7,0.50
Chattanooga (SoCon),12,8-4,7,11,18,6,6,12,6,0.50
Dartmouth (Ivy League),10,6-4,8,8,16,5,6,11,5,0.50
Norfolk St. (MEAC),12,3-9,14,19,33,12,15,27,6,0.50
Montana St. (Big Sky),12,7-5,11,10,21,7,8,15,6,0.50
Charlotte (FCS Independent),11,5-6,16,15,31,14,12,26,5,0.50
South Dakota (MVFC),12,4-8,10,15,25,9,11,20,5,0.40
Tennessee Tech (OVC),12,5-7,11,14,25,10,10,20,5,0.40
UNI (MVFC),12,7-5,11,11,22,8,9,17,5,0.40
Northern Ariz. (Big Sky),12,9-3,10,14,24,7,12,19,5,0.40
Jacksonville St. (OVC),15,11-4,14,14,28,11,11,22,6,0.40
Charleston So. (Big South),13,10-3,9,11,20,5,10,15,5,0.40
Youngstown St. (MVFC),12,8-4,12,10,22,11,7,18,4,0.30
Monmouth (FCS Independent),12,6-6,13,9,22,6,12,18,4,0.30
Central Ark. (Southland),12,7-5,13,10,23,6,13,19,4,0.30
William & Mary (CAA),12,7-5,10,9,19,9,6,15,4,0.30
Richmond (CAA),12,6-6,7,17,24,11,9,20,4,0.30
McNeese (Southland),13,10-3,7,14,21,10,7,17,4,0.30
Maine (CAA),13,10-3,6,14,20,7,9,16,4,0.30
New Hampshire (CAA),15,10-5,11,15,26,10,12,22,4,0.30
North Dakota St. (MVFC),15,15-0,5,17,22,11,7,18,4,0.30
Coastal Carolina (Big South),15,12-3,6,13,19,5,10,15,4,0.30
Cal Poly (Big Sky),12,6-6,7,14,21,9,9,18,3,0.30
Northwestern St. (Southland),12,6-6,10,7,17,5,9,14,3,0.30
Prairie View (SWAC),12,6-6,12,12,24,8,13,21,3,0.30
Bethune-Cookman (MEAC),13,10-3,9,19,28,13,12,25,3,0.20
Sam Houston (Southland),14,9-5,12,12,24,10,11,21,3,0.20
Ark.-Pine Bluff (SWAC),11,2-9,10,7,17,2,13,15,2,0.20
Alabama St. (SWAC),12,8-4,14,11,25,14,9,23,2,0.20
Eastern Ky. (OVC),12,6-6,15,9,24,11,11,22,2,0.20
South Carolina St. (MEAC),13,9-4,13,12,25,10,13,23,2,0.20
Bucknell (Patriot),11,6-5,16,11,27,13,13,26,1,0.10
San Diego (Pioneer),11,8-3,5,10,15,9,5,14,1,0.10
Morgan St. (MEAC),12,5-7,7,15,22,11,10,21,1,0.10
Bryant (NEC),12,5-7,7,15,22,7,14,21,1,0.10
The Citadel (SoCon),12,5-7,7,8,15,11,3,14,1,0.10
Southeast Mo. St. (OVC),12,3-9,9,12,21,8,12,20,1,0.10
Southern Ill. (MVFC),12,7-5,8,10,18,7,10,17,1,0.10
Eastern Wash. (Big Sky),15,12-3,11,16,27,11,15,26,1,0.10
UC Davis (Big Sky),12,5-7,6,8,14,6,8,14,0,0.00
N.C. Central (MEAC),12,5-7,12,14,26,11,15,26,0,0.00
Elon (SoCon),12,2-10,9,8,17,7,10,17,0,0.00
Towson (CAA),16,13-3,18,16,34,21,13,34,0,0.00
Robert Morris (NEC),11,5-6,8,16,24,9,15,24,0,0.00
Southeastern La. (Southland),14,11-3,6,17,23,12,12,24,-1,-0.10
Southern U. (SWAC),13,9-4,13,11,24,14,11,25,-1,-0.10
Yale (Ivy League),10,5-5,11,9,20,11,10,21,-1,-0.10
Missouri St. (MVFC),12,5-7,8,17,25,14,13,27,-2,-0.20
Hampton (MEAC),12,4-8,11,14,25,13,14,27,-2,-0.20
Murray St. (OVC),12,6-6,11,13,24,10,16,26,-2,-0.20
Austin Peay (OVC),12,0-12,9,6,15,7,10,17,-2,-0.20
Florida A&M (MEAC),12,3-9,8,15,23,8,17,25,-2,-0.20
Stony Brook (CAA),11,5-6,6,6,12,5,9,14,-2,-0.20
Drake (Pioneer),11,6-5,10,9,19,10,11,21,-2,-0.20
Villanova (CAA),11,6-5,5,10,15,9,8,17,-2,-0.20
Valparaiso (Pioneer),11,1-10,9,8,17,8,11,19,-2,-0.20
Indiana St. (MVFC),12,1-11,9,11,20,6,17,23,-3,-0.30
Rhode Island (CAA),12,3-9,10,8,18,8,13,21,-3,-0.30
Lafayette (Patriot),12,5-7,7,16,23,8,18,26,-3,-0.30
Dayton (Pioneer),11,7-4,7,13,20,13,10,23,-3,-0.30
Georgetown (Patriot),11,2-9,6,7,13,6,10,16,-3,-0.30
Grambling (SWAC),11,1-10,7,11,18,10,11,21,-3,-0.30
Cornell (Ivy League),10,3-7,10,6,16,6,13,19,-3,-0.30
Campbell (Pioneer),12,3-9,10,9,19,12,11,23,-4,-0.30
Howard (MEAC),12,6-6,9,12,21,13,12,25,-4,-0.30
Delaware (CAA),12,7-5,6,12,18,12,10,22,-4,-0.30
Illinois St. (MVFC),11,5-6,12,6,18,9,13,22,-4,-0.40
Stetson (Pioneer),11,2-9,8,13,21,10,15,25,-4,-0.40
Samford (SoCon),13,8-5,9,10,19,11,13,24,-5,-0.40
Sacramento St. (Big Sky),12,5-7,6,8,14,6,13,19,-5,-0.40
Western Caro. (SoCon),12,2-10,14,5,19,6,18,24,-5,-0.40
UAlbany (CAA),12,1-11,9,4,13,7,11,18,-5,-0.40
Duquesne (NEC),11,7-4,10,9,19,8,16,24,-5,-0.50
James Madison (CAA),12,6-6,7,10,17,8,15,23,-6,-0.50
Holy Cross (Patriot),12,3-9,10,9,19,12,13,25,-6,-0.50
Wofford (SoCon),11,5-6,9,9,18,14,10,24,-6,-0.50
VMI (Big South),12,2-10,7,9,16,11,12,23,-7,-0.60
Davidson (Pioneer),11,0-11,4,7,11,10,8,18,-7,-0.60
Jacksonville (Pioneer),11,5-6,13,8,21,12,16,28,-7,-0.60
Portland St. (Big Sky),12,6-6,9,12,21,13,16,29,-8,-0.70
Delaware St. (MEAC),11,5-6,10,10,20,12,16,28,-8,-0.70
Presbyterian (Big South),11,3-8,10,2,12,7,13,20,-8,-0.70
Northern Colo. (Big Sky),12,1-11,6,9,15,6,18,24,-9,-0.80
Colgate (Patriot),12,4-8,6,9,15,12,12,24,-9,-0.80
Penn (Ivy League),10,4-6,8,11,19,11,16,27,-8,-0.80
Texas Southern (SWAC),11,2-9,7,11,18,16,11,27,-9,-0.80
Idaho St. (Big Sky),12,3-9,9,8,17,13,14,27,-10,-0.80
Weber St. (Big Sky),12,2-10,9,10,19,19,10,29,-10,-0.80
Central Conn. St. (NEC),12,4-8,8,11,19,11,18,29,-10,-0.80
Alabama A&M (SWAC),12,4-8,8,11,19,13,16,29,-10,-0.80
Houston Christian (FCS Independent),7,3-4,6,6,12,12,6,18,-6,-0.90
Lehigh (Patriot),11,8-3,4,7,11,7,14,21,-10,-0.90
Gardner-Webb (Big South),12,7-5,7,14,21,17,15,32,-11,-0.90
SFA (Southland),12,3-9,6,17,23,12,22,34,-11,-0.90
Morehead St. (Pioneer),12,3-9,5,7,12,7,17,24,-12,-1.00
UT Martin (OVC),12,7-5,6,12,18,21,12,33,-15,-1.30
Savannah St. (MEAC),12,1-11,7,8,15,12,18,30,-15,-1.30
Wagner (NEC),11,3-8,7,4,11,8,17,25,-14,-1.30
Nicholls (Southland),12,4-8,6,6,12,15,14,29,-17,-1.40
Columbia (Ivy League),10,0-10,5,5,10,12,14,26,-16,-1.60
North Dakota (Big Sky),11,3-8,4,5,9,10,19,29,-20,-1.80
Jackson St. (SWAC),11,7-4,6,4,10,14,17,31,-21,-1.90
Abilene Christian (FCS Independent),11,6-5,14,14,28,7,5,12,16,1.50
UIW (FCS Independent),11,6-5,13,9,22,10,8,18,4,0.40
