Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Army West Point (FBS Independent),13,10-3,1,5,0.08
App State (Sun Belt),13,9-4,8,55,0.62
Fresno St. (Mountain West),14,10-4,10,69,0.71
Marshall (C-USA),13,8-5,11,69,0.85
UCF (AAC),13,13-0,13,64,1.00
Mississippi St. (SEC),13,9-4,13,76,1.00
Navy (AAC),13,7-6,13,78,1.00
NC State (ACC),13,9-4,13,87,1.00
Colorado St. (Mountain West),13,7-6,13,75,1.00
Missouri (SEC),13,7-6,13,92,1.00
Southern Miss. (C-USA),13,8-5,14,99,1.08
Fla. Atlantic (C-USA),14,11-3,16,72,1.14
Boston College (ACC),13,7-6,15,94,1.15
Troy (Sun Belt),13,11-2,15,85,1.15
Stanford (Pac-12),14,9-5,17,103,1.21
Ohio (MAC),13,9-4,16,93,1.23
East Carolina (AAC),12,3-9,15,112,1.25
New Mexico (Mountain West),12,3-9,15,98,1.25
TCU (Big 12),14,11-3,18,128,1.29
Nevada (Mountain West),12,3-9,16,92,1.33
Eastern Mich. (MAC),12,5-7,17,128,1.42
Buffalo (MAC),12,6-6,17,124,1.42
Cincinnati (AAC),12,4-8,17,136,1.42
Houston (AAC),12,7-5,17,109,1.42
Iowa St. (Big 12),13,8-5,19,144,1.46
Arizona (Pac-12),13,7-6,19,126,1.46
West Virginia (Big 12),13,7-6,19,125,1.46
Georgia (SEC),15,13-2,22,150,1.47
Wisconsin (Big Ten),14,13-1,21,117,1.50
Oregon St. (Pac-12),12,1-11,18,97,1.50
Rutgers (Big Ten),12,4-8,18,116,1.50
South Fla. (AAC),12,10-2,18,111,1.50
Temple (AAC),13,7-6,20,149,1.54
Washington (Pac-12),13,10-3,20,166,1.54
Wake Forest (ACC),13,8-5,20,114,1.54
Ohio St. (Big Ten),14,12-2,22,131,1.57
Toledo (MAC),14,11-3,22,138,1.57
Vanderbilt (SEC),12,5-7,19,120,1.58
Memphis (AAC),13,10-3,21,138,1.62
Michigan St. (Big Ten),13,10-3,21,139,1.62
Old Dominion (C-USA),12,5-7,20,113,1.67
ULM (Sun Belt),12,4-8,21,129,1.75
Virginia Tech (ACC),13,9-4,23,150,1.77
UAB (C-USA),13,8-5,23,185,1.77
SMU (AAC),13,7-6,23,144,1.77
Georgia Tech (ACC),11,5-6,20,113,1.82
Minnesota (Big Ten),12,5-7,22,170,1.83
Miami (OH) (MAC),12,5-7,22,130,1.83
Air Force (Mountain West),12,5-7,22,149,1.83
Western Mich. (MAC),12,6-6,22,112,1.83
Charlotte (C-USA),12,1-11,22,152,1.83
Oklahoma St. (Big 12),13,10-3,24,130,1.85
Oklahoma (Big 12),14,12-2,26,181,1.86
Iowa (Big Ten),13,8-5,25,173,1.92
Middle Tenn. (C-USA),13,7-6,25,176,1.92
Oregon (Pac-12),13,7-6,25,164,1.92
Louisiana Tech (C-USA),13,7-6,25,139,1.92
Central Mich. (MAC),13,8-5,25,175,1.92
Alabama (SEC),14,13-1,27,154,1.93
Tulane (AAC),12,5-7,24,173,2.00
Wyoming (Mountain West),13,8-5,26,177,2.00
Boise St. (Mountain West),14,11-3,28,160,2.00
BYU (FBS Independent),13,4-9,26,176,2.00
Kansas St. (Big 12),13,8-5,26,100,2.00
UNLV (Mountain West),12,5-7,24,145,2.00
Nebraska (Big Ten),12,4-8,24,173,2.00
NIU (MAC),13,8-5,27,185,2.08
UTEP (C-USA),12,0-12,25,154,2.08
South Alabama (Sun Belt),12,4-8,25,180,2.08
Georgia St. (Sun Belt),12,7-5,25,149,2.08
Southern California (Pac-12),14,11-3,30,217,2.14
Utah St. (Mountain West),13,6-7,28,171,2.15
Tulsa (AAC),12,2-10,26,153,2.17
Clemson (ACC),14,12-2,31,203,2.21
South Carolina (SEC),13,9-4,29,182,2.23
Texas Tech (Big 12),13,6-7,29,238,2.23
Duke (ACC),13,7-6,29,203,2.23
Miami (FL) (ACC),13,10-3,29,153,2.23
Texas A&M (SEC),13,7-6,29,184,2.23
UCLA (Pac-12),13,6-7,29,221,2.23
Penn St. (Big Ten),13,11-2,29,163,2.23
FIU (C-USA),13,8-5,29,211,2.23
Notre Dame (FBS Independent),13,10-3,30,143,2.31
LSU (SEC),13,9-4,30,170,2.31
UTSA (C-USA),11,6-5,26,148,2.36
San Diego St. (Mountain West),13,10-3,31,198,2.38
Virginia (ACC),13,6-7,31,194,2.38
Northwestern (Big Ten),13,10-3,31,213,2.38
Kentucky (SEC),13,7-6,31,191,2.38
Bowling Green (MAC),12,2-10,29,207,2.42
Rice (C-USA),12,1-11,29,157,2.42
Kansas (Big 12),12,1-11,29,188,2.42
Indiana (Big Ten),12,5-7,29,211,2.42
New Mexico St. (Independent),13,7-6,32,208,2.46
Florida St. (ACC),13,7-6,32,218,2.46
Hawaii (Mountain West),12,3-9,30,189,2.50
North Carolina (ACC),12,3-9,30,235,2.50
Louisville (ACC),13,8-5,33,181,2.54
Purdue (Big Ten),13,7-6,33,216,2.54
Auburn (SEC),14,10-4,36,224,2.57
Ga. Southern (Sun Belt),12,2-10,31,176,2.58
Pittsburgh (ACC),12,5-7,31,221,2.58
Texas (Big 12),13,7-6,34,221,2.62
Syracuse (ACC),12,4-8,32,194,2.67
Ole Miss (SEC),12,6-6,32,242,2.67
Louisiana (Sun Belt),12,5-7,32,204,2.67
Akron (MAC),14,7-7,38,243,2.71
Arkansas St. (Sun Belt),12,7-5,33,201,2.75
Ball St. (MAC),12,2-10,33,190,2.75
Michigan (Big Ten),13,8-5,36,264,2.77
San Jose St. (Mountain West),13,2-11,36,285,2.77
North Texas (C-USA),14,9-5,39,289,2.79
UConn (AAC),12,3-9,35,203,2.92
Tennessee (SEC),12,4-8,35,242,2.92
Maryland (Big Ten),12,4-8,35,169,2.92
Arkansas (SEC),12,4-8,35,197,2.92
California (Pac-12),12,5-7,35,242,2.92
Utah (Pac-12),13,7-6,39,240,3.00
Texas St. (Sun Belt),12,2-10,36,262,3.00
Arizona St. (Pac-12),13,7-6,41,240,3.15
Baylor (Big 12),12,1-11,38,266,3.17
Colorado (Pac-12),12,5-7,39,250,3.25
Florida (SEC),11,4-7,37,242,3.36
Washington St. (Pac-12),13,9-4,44,317,3.38
Illinois (Big Ten),12,2-10,42,277,3.50
Western Ky. (C-USA),13,6-7,48,348,3.69
Massachusetts (FBS Independent),12,4-8,46,263,3.83
Kent St. (MAC),12,2-10,46,240,3.83
Idaho (Sun Belt),12,4-8,50,335,4.17
Liberty (Independent),11,6-5,15,111,1.36
Coastal Carolina (Sun Belt),12,3-9,28,157,2.33
