Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
Southern Miss. (CUSA),11,6-5,59,89,13,161
Charlotte (CUSA),12,5-7,64,116,17,197
Cincinnati (AAC),13,11-2,64,102,34,200
Army West Point (FBS Independent),13,11-2,78,107,19,204
Miami (FL) (ACC),13,7-6,107,80,18,205
Michigan (Big Ten),13,10-3,89,82,35,206
App State (Sun Belt),13,11-2,91,98,19,208
Air Force (Mountain West),12,5-7,76,121,12,209
Mississippi St. (SEC),13,8-5,90,98,24,212
Virginia (ACC),13,8-5,92,109,12,213
Michigan St. (Big Ten),13,7-6,55,139,19,213
Iowa (Big Ten),13,9-4,101,98,15,214
San Diego St. (Mountain West),13,7-6,77,120,19,216
Texas A&M (SEC),13,9-4,76,124,21,221
Texas St. (Sun Belt),12,3-9,100,106,15,221
Wyoming (Mountain West),12,6-6,96,111,16,223
Kentucky (SEC),13,10-3,104,101,21,226
California (Pac-12),13,7-6,106,103,18,227
Wisconsin (Big Ten),13,8-5,98,108,24,230
Florida (SEC),13,10-3,105,99,27,231
Boise St. (Mountain West),13,10-3,91,123,18,232
Arkansas St. (Sun Belt),13,8-5,119,88,25,232
Clemson (ACC),15,15-0,97,116,22,235
BYU (FBS Independent),13,7-6,98,120,19,237
Washington (Pac-12),14,10-4,88,135,14,237
Minnesota (Big Ten),13,7-6,101,120,16,237
Utah (Pac-12),14,9-5,82,128,28,238
Troy (Sun Belt),13,10-3,100,121,19,240
Georgia (SEC),14,11-3,99,121,20,240
NC State (ACC),13,9-4,89,134,18,241
UAB (CUSA),14,11-3,92,107,43,242
Marshall (CUSA),13,9-4,79,130,33,242
UTEP (CUSA),12,1-11,120,102,20,242
TCU (Big 12),13,7-6,110,116,16,242
Ga. Southern (Sun Belt),13,10-3,103,123,17,243
East Carolina (AAC),12,3-9,96,130,17,243
Tennessee (SEC),12,5-7,103,124,16,243
Missouri (SEC),13,8-5,84,137,23,244
Colorado (Pac-12),12,5-7,99,117,28,244
North Texas (CUSA),13,9-4,87,136,22,245
Eastern Mich. (MAC),13,7-6,135,81,29,245
Central Mich. (MAC),12,1-11,123,93,29,245
Iowa St. (Big 12),13,8-5,97,138,11,246
Southern California (Pac-12),12,5-7,94,128,24,246
Auburn (SEC),13,8-5,95,122,30,247
Louisiana Tech (CUSA),13,8-5,116,113,19,248
Miami (OH) (MAC),12,6-6,110,113,25,248
North Carolina (ACC),11,2-9,118,110,21,249
Fresno St. (Mountain West),14,12-2,106,124,19,249
UTSA (CUSA),12,3-9,100,139,13,252
Buffalo (MAC),14,10-4,128,107,17,252
Georgia St. (Sun Belt),12,2-10,113,124,15,252
Alabama (SEC),15,14-1,93,131,29,253
Kansas St. (Big 12),12,5-7,99,139,16,254
LSU (SEC),13,10-3,107,116,31,254
Rutgers (Big Ten),12,1-11,115,112,27,254
Utah St. (Mountain West),13,11-2,100,123,31,254
Washington St. (Pac-12),13,11-2,101,118,36,255
Western Mich. (MAC),13,7-6,112,123,20,255
Nevada (Mountain West),13,8-5,94,138,24,256
Akron (MAC),12,4-8,127,111,18,256
Ohio (MAC),13,9-4,100,138,18,256
UNLV (Mountain West),12,4-8,114,133,10,257
Boston College (ACC),12,7-5,103,135,19,257
Tulsa (AAC),12,3-9,135,95,28,258
Maryland (Big Ten),12,5-7,123,102,33,258
Syracuse (ACC),13,10-3,103,133,22,258
Arkansas (SEC),12,2-10,116,119,24,259
Notre Dame (FBS Independent),13,12-1,95,141,23,259
Coastal Carolina (Sun Belt),12,5-7,136,107,16,259
Penn St. (Big Ten),13,9-4,122,114,24,260
Western Ky. (CUSA),12,3-9,112,127,22,261
West Virginia (Big 12),12,8-4,112,131,19,262
Georgia Tech (ACC),13,7-6,125,125,12,262
Florida St. (ACC),12,5-7,102,135,25,262
Kansas (Big 12),12,3-9,118,128,17,263
Virginia Tech (ACC),13,6-7,122,120,22,264
Colorado St. (Mountain West),12,3-9,133,115,17,265
Kent St. (MAC),12,2-10,117,122,28,267
Baylor (Big 12),13,7-6,116,127,24,267
South Alabama (Sun Belt),12,3-9,113,123,33,269
ULM (Sun Belt),12,6-6,116,130,23,269
Navy (AAC),13,3-10,123,138,9,270
Indiana (Big Ten),12,5-7,115,129,28,272
Nebraska (Big Ten),12,4-8,114,129,29,272
Duke (ACC),13,8-5,134,124,14,272
Oregon (Pac-12),13,9-4,102,147,23,272
Stanford (Pac-12),13,9-4,103,154,15,272
Middle Tenn. (CUSA),14,8-6,127,122,27,276
Northwestern (Big Ten),14,9-5,104,160,13,277
Texas Tech (Big 12),12,5-7,107,142,28,277
Fla. Atlantic (CUSA),12,5-7,114,142,22,278
Bowling Green (MAC),12,3-9,175,78,26,279
Rice (CUSA),13,2-11,107,156,17,280
SMU (AAC),12,5-7,132,129,19,280
Tulane (AAC),13,7-6,106,145,29,280
Louisville (ACC),12,2-10,152,109,19,280
Pittsburgh (ACC),14,7-7,126,124,30,280
UCLA (Pac-12),12,3-9,121,135,25,281
New Mexico (Mountain West),12,3-9,134,128,21,283
Ohio St. (Big Ten),14,13-1,102,145,36,283
Arizona (Pac-12),12,5-7,102,146,36,284
NIU (MAC),14,8-6,88,161,37,286
Toledo (MAC),13,7-6,116,140,31,287
Massachusetts (FBS Independent),12,4-8,166,103,18,287
San Jose St. (Mountain West),12,1-11,129,138,22,289
Texas (Big 12),14,10-4,104,158,27,289
Wake Forest (ACC),13,7-6,120,149,21,290
Old Dominion (CUSA),12,4-8,121,143,27,291
Arizona St. (Pac-12),13,7-6,129,137,26,292
FIU (CUSA),13,9-4,147,116,29,292
New Mexico St. (FBS Independent),12,3-9,166,113,17,296
Ball St. (MAC),12,4-8,146,125,25,296
Temple (AAC),13,8-5,142,116,39,297
Hawaii (Mountain West),14,8-6,138,142,17,297
Oklahoma St. (Big 12),13,7-6,108,156,37,301
Illinois (Big Ten),12,4-8,147,131,23,301
South Fla. (AAC),13,7-6,160,117,25,302
Ole Miss (SEC),12,5-7,144,130,30,304
Vanderbilt (SEC),13,6-7,150,137,17,304
Oregon St. (Pac-12),12,2-10,155,133,18,306
UCF (AAC),13,12-1,160,122,25,307
Purdue (Big Ten),13,6-7,118,163,26,307
Memphis (AAC),14,8-6,128,155,28,311
Louisiana (Sun Belt),14,7-7,160,134,22,316
UConn (AAC),12,1-11,179,134,12,325
South Carolina (SEC),13,7-6,152,151,27,330
Houston (AAC),13,8-5,152,161,22,335
Oklahoma (Big 12),14,12-2,134,181,27,342
Liberty (FBS Independent),12,6-6,140,135,14,289
