Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Ga. Southern (Sun Belt),13,10-3,12,15,27,5,0,5,22,1.69
Kansas (Big 12),12,3-9,11,16,27,7,4,11,16,1.33
Utah St. (Mountain West),13,11-2,10,22,32,12,6,18,14,1.08
UCF (AAC),13,12-1,14,14,28,7,7,14,14,1.08
Ohio (MAC),13,9-4,16,16,32,11,8,19,13,1.00
Syracuse (ACC),13,10-3,13,18,31,6,12,18,13,1.00
Florida (SEC),13,10-3,12,14,26,8,6,14,12,0.92
LSU (SEC),13,10-3,8,17,25,8,5,13,12,0.92
Fresno St. (Mountain West),14,12-2,7,19,26,8,6,14,12,0.86
Boise St. (Mountain West),13,10-3,17,7,24,5,8,13,11,0.85
Troy (Sun Belt),13,10-3,13,18,31,13,8,21,10,0.77
Arizona St. (Pac-12),13,7-6,9,12,21,4,7,11,10,0.77
Eastern Mich. (MAC),13,7-6,11,13,24,10,4,14,10,0.77
Army West Point (FBS Independent),13,11-2,13,5,18,5,3,8,10,0.77
Maryland (Big Ten),12,5-7,5,18,23,9,5,14,9,0.75
Auburn (SEC),13,8-5,8,14,22,8,5,13,9,0.69
Iowa (Big Ten),13,9-4,7,20,27,7,11,18,9,0.69
FIU (C-USA),13,9-4,5,17,22,5,8,13,9,0.69
Texas (Big 12),14,10-4,8,12,20,5,6,11,9,0.64
Georgia Tech (ACC),13,7-6,13,12,25,13,4,17,8,0.62
Washington St. (Pac-12),13,11-2,11,12,23,5,10,15,8,0.62
Vanderbilt (SEC),13,6-7,9,13,22,8,6,14,8,0.62
SMU (AAC),12,5-7,11,11,22,7,8,15,7,0.58
West Virginia (Big 12),12,8-4,9,15,24,7,10,17,7,0.58
Boston College (ACC),12,7-5,8,18,26,10,9,19,7,0.58
Mississippi St. (SEC),13,8-5,7,13,20,3,10,13,7,0.54
Miami (OH) (MAC),12,6-6,8,8,16,5,5,10,6,0.50
Northwestern (Big Ten),14,9-5,14,12,26,3,16,19,7,0.50
Clemson (ACC),15,15-0,12,12,24,9,8,17,7,0.47
App State (Sun Belt),13,11-2,6,17,23,5,12,17,6,0.46
Temple (AAC),13,8-5,13,18,31,6,19,25,6,0.46
Ohio St. (Big Ten),14,13-1,12,11,23,9,8,17,6,0.43
Indiana (Big Ten),12,5-7,13,13,26,8,13,21,5,0.42
Alabama (SEC),15,14-1,7,14,21,7,8,15,6,0.40
North Texas (C-USA),13,9-4,4,18,22,8,9,17,5,0.38
Oregon (Pac-12),13,9-4,6,17,23,10,8,18,5,0.38
Houston (AAC),13,8-5,10,14,24,10,9,19,5,0.38
Michigan (Big Ten),13,10-3,6,11,17,3,9,12,5,0.38
Middle Tenn. (C-USA),14,8-6,8,16,24,8,11,19,5,0.36
Wyoming (Mountain West),12,6-6,5,10,15,7,4,11,4,0.33
Notre Dame (FBS Independent),13,12-1,9,12,21,4,13,17,4,0.31
Arkansas St. (Sun Belt),13,8-5,8,12,20,6,10,16,4,0.31
Navy (AAC),13,3-10,12,9,21,12,5,17,4,0.31
Buffalo (MAC),14,10-4,10,14,24,7,13,20,4,0.29
Memphis (AAC),14,8-6,12,9,21,7,10,17,4,0.29
Louisiana Tech (C-USA),13,8-5,9,13,22,8,11,19,3,0.23
Virginia Tech (ACC),13,6-7,12,7,19,6,10,16,3,0.23
Toledo (MAC),13,7-6,9,12,21,7,11,18,3,0.23
Stanford (Pac-12),13,9-4,7,11,18,4,11,15,3,0.23
Georgia (SEC),14,11-3,9,8,17,8,6,14,3,0.21
Washington (Pac-12),14,10-4,9,11,20,5,12,17,3,0.21
Kansas St. (Big 12),12,5-7,8,11,19,10,7,17,2,0.17
Western Ky. (C-USA),12,3-9,6,12,18,6,10,16,2,0.17
Virginia (ACC),13,8-5,4,17,21,10,9,19,2,0.15
Kentucky (SEC),13,10-3,11,9,20,8,10,18,2,0.15
Pittsburgh (ACC),14,7-7,9,9,18,10,6,16,2,0.14
Charlotte (C-USA),12,5-7,7,9,16,7,8,15,1,0.08
UNLV (Mountain West),12,4-8,10,10,20,7,12,19,1,0.08
Ole Miss (SEC),12,5-7,8,7,15,5,9,14,1,0.08
UCLA (Pac-12),12,3-9,7,11,18,7,10,17,1,0.08
UTSA (C-USA),12,3-9,10,9,19,8,10,18,1,0.08
San Jose St. (Mountain West),12,1-11,7,13,20,6,13,19,1,0.08
Missouri (SEC),13,8-5,6,10,16,7,8,15,1,0.08
BYU (FBS Independent),13,7-6,9,9,18,10,7,17,1,0.08
NC State (ACC),13,9-4,9,10,19,7,11,18,1,0.08
Michigan St. (Big Ten),13,7-6,9,14,23,8,14,22,1,0.08
Wisconsin (Big Ten),13,8-5,11,14,25,10,14,24,1,0.08
Western Mich. (MAC),13,7-6,11,9,20,10,9,19,1,0.08
UAB (C-USA),14,11-3,11,9,20,4,16,20,0,0.00
Cincinnati (AAC),13,11-2,8,12,20,13,7,20,0,0.00
Marshall (C-USA),13,9-4,12,12,24,11,13,24,0,0.00
NIU (MAC),14,8-6,11,8,19,9,11,20,-1,-0.07
Tulane (AAC),13,7-6,6,12,18,12,7,19,-1,-0.08
South Fla. (AAC),13,7-6,10,11,21,10,12,22,-1,-0.08
Penn St. (Big Ten),13,9-4,7,13,20,13,8,21,-1,-0.08
Miami (FL) (ACC),13,7-6,9,16,25,12,14,26,-1,-0.08
Air Force (Mountain West),12,5-7,7,7,14,10,5,15,-1,-0.08
Tennessee (SEC),12,5-7,6,9,15,11,5,16,-1,-0.08
Kent St. (MAC),12,2-10,10,9,19,10,10,20,-1,-0.08
Southern Miss. (C-USA),11,6-5,8,14,22,10,13,23,-1,-0.09
Oklahoma (Big 12),14,12-2,5,6,11,6,7,13,-2,-0.14
Louisiana (Sun Belt),14,7-7,7,8,15,3,14,17,-2,-0.14
Nebraska (Big Ten),12,4-8,9,11,20,11,11,22,-2,-0.17
California (Pac-12),13,7-6,7,21,28,11,20,31,-3,-0.23
Wake Forest (ACC),13,7-6,10,6,16,6,13,19,-3,-0.23
San Diego St. (Mountain West),13,7-6,5,10,15,11,7,18,-3,-0.23
Iowa St. (Big 12),13,8-5,8,8,16,10,9,19,-3,-0.23
Minnesota (Big Ten),13,7-6,10,11,21,11,14,25,-4,-0.31
Rice (C-USA),13,2-11,11,8,19,7,16,23,-4,-0.31
Illinois (Big Ten),12,4-8,5,15,20,10,14,24,-4,-0.33
Colorado (Pac-12),12,5-7,7,8,15,7,12,19,-4,-0.33
Ball St. (MAC),12,4-8,6,12,18,10,12,22,-4,-0.33
Arizona (Pac-12),12,5-7,8,7,15,9,10,19,-4,-0.33
New Mexico (Mountain West),12,3-9,13,9,22,9,17,26,-4,-0.33
Tulsa (AAC),12,3-9,11,9,20,14,10,24,-4,-0.33
Texas Tech (Big 12),12,5-7,6,12,18,7,15,22,-4,-0.33
South Alabama (Sun Belt),12,3-9,6,12,18,12,10,22,-4,-0.33
Massachusetts (FBS Independent),12,4-8,8,12,20,14,10,24,-4,-0.33
Utah (Pac-12),14,9-5,6,15,21,14,12,26,-5,-0.36
TCU (Big 12),13,7-6,9,12,21,11,15,26,-5,-0.38
South Carolina (SEC),13,7-6,10,6,16,7,14,21,-5,-0.38
Purdue (Big Ten),13,6-7,3,11,14,6,13,19,-5,-0.38
Akron (MAC),12,4-8,11,10,21,12,14,26,-5,-0.42
Texas St. (Sun Belt),12,3-9,12,6,18,11,12,23,-5,-0.42
Central Mich. (MAC),12,1-11,12,10,22,9,18,27,-5,-0.42
Nevada (Mountain West),13,8-5,11,11,22,11,17,28,-6,-0.46
Coastal Carolina (Sun Belt),12,5-7,8,4,12,11,7,18,-6,-0.50
Old Dominion (C-USA),12,4-8,5,9,14,8,12,20,-6,-0.50
Duke (ACC),13,8-5,9,4,13,10,10,20,-7,-0.54
Texas A&M (SEC),13,9-4,4,7,11,9,9,18,-7,-0.54
North Carolina (ACC),11,2-9,10,7,17,9,14,23,-6,-0.55
Fla. Atlantic (C-USA),12,5-7,3,11,14,6,15,21,-7,-0.58
Hawaii (Mountain West),14,8-6,7,5,12,9,12,21,-9,-0.64
New Mexico St. (FBS Independent),12,3-9,10,7,17,9,16,25,-8,-0.67
Bowling Green (MAC),12,3-9,8,6,14,9,13,22,-8,-0.67
Georgia St. (Sun Belt),12,2-10,4,6,10,12,6,18,-8,-0.67
Oklahoma St. (Big 12),13,7-6,8,5,13,9,13,22,-9,-0.69
Baylor (Big 12),13,7-6,3,7,10,6,13,19,-9,-0.69
Colorado St. (Mountain West),12,3-9,5,7,12,6,16,22,-10,-0.83
Southern California (Pac-12),12,5-7,6,4,10,10,10,20,-10,-0.83
Arkansas (SEC),12,2-10,11,5,16,8,18,26,-10,-0.83
Oregon St. (Pac-12),12,2-10,5,3,8,9,9,18,-10,-0.83
Florida St. (ACC),12,5-7,3,12,15,13,13,26,-11,-0.92
ULM (Sun Belt),12,6-6,6,5,11,11,12,23,-12,-1.00
Louisville (ACC),12,2-10,7,6,13,10,15,25,-12,-1.00
Rutgers (Big Ten),12,1-11,6,9,15,7,22,29,-14,-1.17
East Carolina (AAC),12,3-9,6,5,11,10,15,25,-14,-1.17
UTEP (C-USA),12,1-11,6,5,11,9,19,28,-17,-1.42
UConn (AAC),12,1-11,6,5,11,11,17,28,-17,-1.42
Liberty (FBS Independent),12,6-6,10,12,22,6,18,24,-2,-0.17
