Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Fla. Atlantic (C-USA),14,11-3,11,22,33,4,8,12,21,1.5
San Diego St. (Mountain West),13,10-3,9,18,27,2,6,8,19,1.46
Alabama (SEC),13,11-2,11,17,28,4,6,10,18,1.38
Notre Dame (FBS Independent),13,11-2,19,9,28,5,6,11,17,1.31
Oregon (Pac-12),14,12-2,7,20,27,5,6,11,16,1.14
Arizona St. (Pac-12),13,8-5,15,13,28,10,4,14,14,1.08
App State (Sun Belt),14,13-1,10,14,24,3,6,9,15,1.07
Clemson (ACC),15,14-1,11,19,30,5,10,15,15,1.0
Oregon St. (Pac-12),12,5-7,8,8,16,2,4,6,10,0.83
San Jose St. (Mountain West),12,5-7,7,16,23,5,8,13,10,0.83
Baylor (Big 12),14,11-3,13,17,30,11,8,19,11,0.79
Illinois (Big Ten),13,6-7,16,12,28,9,9,18,10,0.77
Syracuse (ACC),12,5-7,12,13,25,9,7,16,9,0.75
Iowa (Big Ten),13,10-3,9,12,21,5,7,12,9,0.69
LSU (SEC),15,15-0,5,17,22,5,7,12,10,0.67
Ball St. (MAC),12,5-7,9,15,24,9,7,16,8,0.67
Utah (Pac-12),14,11-3,8,14,22,9,4,13,9,0.64
Ohio St. (Big Ten),14,13-1,10,15,25,13,3,16,9,0.64
Penn St. (Big Ten),13,11-2,12,10,22,5,9,14,8,0.62
Wake Forest (ACC),13,8-5,11,14,25,4,13,17,8,0.62
Buffalo (MAC),13,8-5,11,11,22,8,6,14,8,0.62
Ga. Southern (Sun Belt),13,7-6,10,9,19,10,1,11,8,0.62
Washington (Pac-12),13,8-5,9,13,22,6,8,14,8,0.62
Western Mich. (MAC),13,7-6,9,13,22,6,8,14,8,0.62
North Carolina (ACC),13,7-6,6,14,20,5,7,12,8,0.62
Louisiana Tech (C-USA),13,10-3,9,17,26,9,10,19,7,0.54
Kent St. (MAC),13,7-6,11,7,18,10,2,12,6,0.46
UCF (AAC),13,10-3,8,13,21,7,8,15,6,0.46
Auburn (SEC),13,9-4,13,10,23,11,6,17,6,0.46
Navy (AAC),13,11-2,10,12,22,12,4,16,6,0.46
Cincinnati (AAC),14,11-3,10,16,26,9,11,20,6,0.43
South Fla. (AAC),12,4-8,12,12,24,9,10,19,5,0.42
Florida (SEC),13,11-2,7,16,23,8,10,18,5,0.38
Wyoming (Mountain West),13,8-5,8,12,20,6,9,15,5,0.38
Texas (Big 12),13,8-5,7,12,19,4,10,14,5,0.38
Boston College (ACC),13,6-7,7,10,17,6,6,12,5,0.38
Louisiana (Sun Belt),14,11-3,9,10,19,10,4,14,5,0.36
Texas Tech (Big 12),12,4-8,5,14,19,7,8,15,4,0.33
Fresno St. (Mountain West),12,4-8,11,11,22,7,11,18,4,0.33
Minnesota (Big Ten),13,11-2,5,14,19,7,8,15,4,0.31
SMU (AAC),13,10-3,12,9,21,6,11,17,4,0.31
Eastern Mich. (MAC),13,6-7,10,11,21,5,12,17,4,0.31
South Carolina (SEC),12,4-8,5,12,17,7,7,14,3,0.25
Colorado (Pac-12),12,5-7,6,11,17,3,11,14,3,0.25
Middle Tenn. (C-USA),12,4-8,9,8,17,5,9,14,3,0.25
Miami (FL) (ACC),13,6-7,10,10,20,7,10,17,3,0.23
California (Pac-12),13,8-5,8,8,16,4,9,13,3,0.23
FIU (C-USA),13,6-7,6,12,18,9,6,15,3,0.23
Georgia (SEC),14,12-2,8,8,16,7,6,13,3,0.21
Liberty (FBS Independent),13,8-5,6,12,18,8,8,16,2,0.15
Indiana (Big Ten),13,8-5,10,7,17,6,9,15,2,0.15
Miami (OH) (MAC),14,8-6,9,11,20,8,10,18,2,0.14
Massachusetts (FBS Independent),12,1-11,11,10,21,4,16,20,1,0.08
Ole Miss (SEC),12,4-8,6,10,16,9,6,15,1,0.08
East Carolina (AAC),12,4-8,7,11,18,7,10,17,1,0.08
Missouri (SEC),12,6-6,7,8,15,6,8,14,1,0.08
Georgia St. (Sun Belt),13,7-6,8,9,17,7,9,16,1,0.08
Mississippi St. (SEC),13,6-7,14,10,24,13,10,23,1,0.08
Kansas St. (Big 12),13,8-5,4,11,15,9,5,14,1,0.08
BYU (FBS Independent),13,7-6,7,15,22,10,11,21,1,0.08
TCU (Big 12),12,5-7,4,16,20,9,11,20,0,0.0
Temple (AAC),13,8-5,12,8,20,7,13,20,0,0.0
ULM (Sun Belt),12,5-7,8,10,18,6,12,18,0,0.0
Boise St. (Mountain West),14,12-2,9,10,19,8,11,19,0,0.0
Michigan (Big Ten),13,9-4,11,9,20,11,9,20,0,0.0
Wisconsin (Big Ten),14,10-4,10,12,22,17,5,22,0,0.0
Coastal Carolina (Sun Belt),12,5-7,6,11,17,8,9,17,0,0.0
Nebraska (Big Ten),12,5-7,10,11,21,12,9,21,0,0.0
Memphis (AAC),14,12-2,8,11,19,9,11,20,-1,-0.07
Tennessee (SEC),13,8-5,4,15,19,7,13,20,-1,-0.08
Oklahoma St. (Big 12),13,8-5,7,12,19,8,12,20,-1,-0.08
Kentucky (SEC),13,8-5,11,8,19,12,8,20,-1,-0.08
Louisville (ACC),13,8-5,11,7,18,10,9,19,-1,-0.08
Army West Point (FBS Independent),13,5-8,10,7,17,11,7,18,-1,-0.08
Tulsa (AAC),12,4-8,13,5,18,10,9,19,-1,-0.08
Old Dominion (C-USA),12,1-11,9,9,18,7,12,19,-1,-0.08
Stanford (Pac-12),12,4-8,4,8,12,5,8,13,-1,-0.08
Utah St. (Mountain West),13,7-6,13,11,24,8,18,26,-2,-0.15
Tulane (AAC),13,7-6,4,12,16,8,10,18,-2,-0.15
Michigan St. (Big Ten),13,7-6,10,12,22,9,15,24,-2,-0.15
Marshall (C-USA),13,8-5,6,10,16,7,11,18,-2,-0.15
Air Force (Mountain West),13,11-2,9,7,16,12,6,18,-2,-0.15
Vanderbilt (SEC),12,3-9,5,6,11,3,10,13,-2,-0.17
Troy (Sun Belt),12,5-7,5,11,16,7,11,18,-2,-0.17
Virginia (ACC),14,9-5,6,12,18,6,15,21,-3,-0.21
Arkansas St. (Sun Belt),13,8-5,7,12,19,11,11,22,-3,-0.23
Florida St. (ACC),13,6-7,10,8,18,8,13,21,-3,-0.23
Iowa St. (Big 12),13,7-6,7,6,13,7,9,16,-3,-0.23
Arizona (Pac-12),12,4-8,4,11,15,6,12,18,-3,-0.25
Ohio (MAC),13,7-6,10,5,15,13,6,19,-4,-0.31
Charlotte (C-USA),13,7-6,6,9,15,5,14,19,-4,-0.31
Virginia Tech (ACC),13,8-5,5,14,19,15,8,23,-4,-0.31
UNLV (Mountain West),12,4-8,5,9,14,6,12,18,-4,-0.33
UTEP (C-USA),12,1-11,5,5,10,6,8,14,-4,-0.33
Georgia Tech (ACC),12,3-9,9,7,16,10,10,20,-4,-0.33
Nevada (Mountain West),13,7-6,8,11,19,11,13,24,-5,-0.38
Arkansas (SEC),12,2-10,10,6,16,6,15,21,-5,-0.42
Maryland (Big Ten),12,3-9,6,10,16,9,12,21,-5,-0.42
Rice (C-USA),12,3-9,5,6,11,12,4,16,-5,-0.42
Western Ky. (C-USA),13,9-4,4,11,15,9,12,21,-6,-0.46
Texas A&M (SEC),13,8-5,4,10,14,10,10,20,-6,-0.46
Washington St. (Pac-12),13,6-7,9,10,19,9,16,25,-6,-0.46
NIU (MAC),12,5-7,9,4,13,8,11,19,-6,-0.5
Bowling Green (MAC),12,3-9,8,7,15,6,15,21,-6,-0.5
South Alabama (Sun Belt),12,2-10,7,9,16,11,11,22,-6,-0.5
UTSA (C-USA),12,4-8,11,6,17,12,11,23,-6,-0.5
North Texas (C-USA),12,4-8,9,4,13,7,12,19,-6,-0.5
West Virginia (Big 12),12,5-7,6,8,14,5,15,20,-6,-0.5
Oklahoma (Big 12),14,12-2,4,7,11,10,9,19,-8,-0.57
UAB (C-USA),14,9-5,13,7,20,8,20,28,-8,-0.57
Houston (AAC),12,4-8,6,8,14,9,12,21,-7,-0.58
Pittsburgh (ACC),13,8-5,5,9,14,12,10,22,-8,-0.62
Purdue (Big Ten),12,4-8,6,9,15,8,15,23,-8,-0.67
Toledo (MAC),12,6-6,4,7,11,12,7,19,-8,-0.67
UCLA (Pac-12),12,4-8,9,5,14,10,12,22,-8,-0.67
UConn (AAC),12,2-10,7,7,14,7,15,22,-8,-0.67
Hawaii (Mountain West),15,10-5,5,14,19,13,17,30,-11,-0.73
Texas St. (Sun Belt),12,3-9,8,7,15,4,20,24,-9,-0.75
Southern California (Pac-12),13,8-5,7,9,16,11,15,26,-10,-0.77
Central Mich. (MAC),14,8-6,6,13,19,17,13,30,-11,-0.79
Northwestern (Big Ten),12,3-9,7,7,14,9,15,24,-10,-0.83
Southern Miss. (C-USA),13,7-6,5,10,15,9,17,26,-11,-0.85
Colorado St. (Mountain West),12,4-8,7,6,13,13,11,24,-11,-0.92
Duke (ACC),12,5-7,8,9,17,14,14,28,-11,-0.92
Kansas (Big 12),12,3-9,2,6,8,6,14,20,-12,-1.0
Rutgers (Big Ten),12,2-10,4,6,10,8,15,23,-13,-1.08
NC State (ACC),12,4-8,4,4,8,11,10,21,-13,-1.08
Akron (MAC),12,0-12,6,5,11,12,14,26,-15,-1.25
New Mexico St. (FBS Independent),12,2-10,7,5,12,12,15,27,-15,-1.25
New Mexico (Mountain West),12,2-10,7,4,11,11,15,26,-15,-1.25
