Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
UIW (Southland),12,5-7,16,17,33,8,9,17,16,1.33
Central Conn. St. (NEC),13,11-2,9,21,30,8,5,13,17,1.31
Mississippi Val. (SWAC),11,2-9,18,10,28,5,9,14,14,1.27
Weber St. (Big Sky),15,11-4,14,17,31,4,11,15,16,1.07
North Dakota St. (MVFC),16,16-0,6,17,23,5,1,6,17,1.06
UNI (MVFC),15,10-5,15,19,34,11,8,19,15,1.00
Alcorn (SWAC),13,9-4,15,21,36,14,10,24,12,0.92
Eastern Wash. (Big Sky),12,7-5,12,12,24,7,6,13,11,0.92
Sacred Heart (NEC),12,7-5,11,12,23,3,9,12,11,0.92
San Diego (Pioneer),12,9-3,8,19,27,6,10,16,11,0.92
Dayton (Pioneer),11,8-3,7,14,21,6,5,11,10,0.91
Yale (Ivy League),10,9-1,8,11,19,4,6,10,9,0.90
Montana St. (Big Sky),15,11-4,11,14,25,7,5,12,13,0.87
Monmouth (Big South),14,11-3,12,12,24,3,9,12,12,0.86
Elon (CAA),11,5-6,8,13,21,5,7,12,9,0.82
Princeton (Ivy League),10,8-2,3,14,17,3,6,9,8,0.80
Kennesaw St. (Big South),14,11-3,12,13,25,10,4,14,11,0.79
McNeese (Southland),12,7-5,14,12,26,8,9,17,9,0.75
Grambling (SWAC),11,6-5,8,17,25,8,9,17,8,0.73
South Carolina St. (MEAC),11,8-3,10,14,24,7,9,16,8,0.73
Florida A&M (MEAC),11,9-2,6,15,21,5,9,14,7,0.64
James Madison (CAA),16,14-2,9,17,26,10,6,16,10,0.62
N.C. A&T (MEAC),12,9-3,8,12,20,9,4,13,7,0.58
Norfolk St. (MEAC),12,5-7,9,13,22,7,8,15,7,0.58
Dartmouth (Ivy League),10,9-1,6,11,17,7,5,12,5,0.50
Robert Morris (NEC),12,7-5,12,11,23,8,9,17,6,0.50
Towson (CAA),12,7-5,8,16,24,12,6,18,6,0.50
Youngstown St. (MVFC),12,6-6,9,11,20,6,8,14,6,0.50
Illinois St. (MVFC),15,10-5,14,19,33,11,15,26,7,0.47
Bethune-Cookman (MEAC),11,7-4,6,8,14,3,6,9,5,0.45
UAlbany (CAA),14,9-5,17,11,28,11,11,22,6,0.43
Eastern Ky. (OVC),12,7-5,10,11,21,3,13,16,5,0.42
Furman (SoCon),13,8-5,10,11,21,9,7,16,5,0.38
Austin Peay (OVC),15,11-4,10,15,25,4,16,20,5,0.33
Northwestern St. (Southland),12,3-9,10,14,24,5,15,20,4,0.33
Sam Houston (Southland),12,7-5,14,16,30,10,16,26,4,0.33
William & Mary (CAA),12,5-7,12,12,24,10,10,20,4,0.33
Villanova (CAA),13,9-4,6,14,20,6,10,16,4,0.31
Abilene Christian (Southland),12,5-7,14,9,23,5,15,20,3,0.25
Charleston So. (Big South),12,6-6,11,14,25,7,15,22,3,0.25
Murray St. (OVC),12,4-8,14,11,25,8,14,22,3,0.25
N.C. Central (MEAC),12,4-8,9,14,23,10,10,20,3,0.25
Tennessee Tech (OVC),12,6-6,11,9,20,6,11,17,3,0.25
UT Martin (OVC),12,7-5,6,13,19,6,10,16,3,0.25
VMI (SoCon),12,5-7,10,10,20,11,6,17,3,0.25
Holy Cross (Patriot),13,7-6,10,15,25,13,9,22,3,0.23
Southeast Mo. St. (OVC),13,9-4,8,14,22,5,14,19,3,0.23
Harvard (Ivy League),10,4-6,10,7,17,5,10,15,2,0.20
Portland St. (Big Sky),12,5-7,6,12,18,7,9,16,2,0.17
Drake (Pioneer),11,6-5,9,8,17,2,14,16,1,0.09
Georgetown (Patriot),11,5-6,8,12,20,12,7,19,1,0.09
Chattanooga (SoCon),12,6-6,10,11,21,8,12,20,1,0.08
Fordham (Patriot),12,4-8,9,9,18,6,11,17,1,0.08
Northern Ariz. (Big Sky),12,4-8,8,7,15,7,7,14,1,0.08
Southern Ill. (MVFC),12,7-5,10,9,19,8,10,18,1,0.08
South Dakota St. (MVFC),13,8-5,7,18,25,17,7,24,1,0.08
Montana (Big Sky),14,10-4,9,16,25,8,16,24,1,0.07
Ark.-Pine Bluff (SWAC),11,6-5,11,11,22,5,17,22,0,0.00
Butler (Pioneer),12,3-9,8,10,18,7,11,18,0,0.00
Eastern Ill. (OVC),12,1-11,10,11,21,9,12,21,0,0.00
Houston Christian (Southland),12,5-7,13,11,24,8,16,24,0,0.00
Sacramento St. (Big Sky),13,9-4,7,11,18,7,11,18,0,0.00
Stony Brook (CAA),12,5-7,13,6,19,7,12,19,0,0.00
UC Davis (Big Sky),12,5-7,11,9,20,7,13,20,0,0.00
Wofford (SoCon),12,8-4,3,7,10,4,6,10,0,0.00
Delaware (CAA),12,5-7,7,8,15,7,9,16,-1,-0.08
Lafayette (Patriot),12,4-8,13,6,19,6,14,20,-1,-0.08
Bucknell (Patriot),11,3-8,9,8,17,8,10,18,-1,-0.09
Cal Poly (Big Sky),11,3-8,4,9,13,9,5,14,-1,-0.09
New Hampshire (CAA),11,6-5,6,13,19,6,14,20,-1,-0.09
Stetson (Pioneer),11,7-4,5,13,18,9,10,19,-1,-0.09
Penn (Ivy League),10,5-5,4,7,11,6,6,12,-1,-0.10
Colgate (Patriot),12,4-8,9,4,13,8,7,15,-2,-0.17
Rhode Island (CAA),12,2-10,8,12,20,9,13,22,-2,-0.17
Prairie View (SWAC),11,6-5,6,12,18,8,12,20,-2,-0.18
Bryant (NEC),12,4-8,5,9,14,7,10,17,-3,-0.25
Davidson (Pioneer),12,8-4,4,9,13,11,5,16,-3,-0.25
Hampton (Big South),12,5-7,9,7,16,4,15,19,-3,-0.25
Northern Colo. (Big Sky),12,2-10,8,12,20,10,13,23,-3,-0.25
The Citadel (SoCon),12,6-6,5,7,12,10,5,15,-3,-0.25
Campbell (Big South),11,6-5,6,8,14,7,10,17,-3,-0.27
Gardner-Webb (Big South),12,3-9,9,11,20,12,12,24,-4,-0.33
Jackson St. (SWAC),12,4-8,8,9,17,8,13,21,-4,-0.33
Saint Francis (PA) (NEC),12,6-6,4,8,12,10,6,16,-4,-0.33
Southern Utah (Big Sky),12,3-9,8,8,16,7,13,20,-4,-0.33
Missouri St. (MVFC),11,1-10,10,7,17,11,10,21,-4,-0.36
Central Ark. (Southland),13,9-4,11,11,22,11,16,27,-5,-0.38
Southeastern La. (Southland),13,8-5,6,16,22,13,14,27,-5,-0.38
Jacksonville (Pioneer),12,3-9,6,7,13,13,5,18,-5,-0.42
Lamar University (Southland),12,4-8,8,11,19,15,9,24,-5,-0.42
South Dakota (MVFC),12,5-7,10,9,19,11,13,24,-5,-0.42
Nicholls (Southland),14,9-5,9,10,19,13,12,25,-6,-0.43
Alabama A&M (SWAC),12,7-5,7,12,19,14,11,25,-6,-0.50
Delaware St. (MEAC),12,2-10,6,7,13,7,12,19,-6,-0.50
ETSU (SoCon),12,3-9,4,7,11,10,7,17,-6,-0.50
Idaho (Big Sky),12,5-7,8,8,16,10,12,22,-6,-0.50
Indiana St. (MVFC),12,5-7,11,9,20,16,10,26,-6,-0.50
Morehead St. (Pioneer),12,5-7,11,11,22,12,16,28,-6,-0.50
Western Caro. (SoCon),12,3-9,10,4,14,9,11,20,-6,-0.50
Maine (CAA),12,6-6,9,3,12,8,11,19,-7,-0.58
Columbia (Ivy League),10,3-7,8,6,14,9,11,20,-6,-0.60
Cornell (Ivy League),10,4-6,5,8,13,6,13,19,-6,-0.60
Southern U. (SWAC),13,8-5,4,15,19,13,14,27,-8,-0.62
Lehigh (Patriot),11,4-7,7,7,14,10,11,21,-7,-0.64
Marist (Pioneer),11,4-7,7,8,15,7,15,22,-7,-0.64
North Dakota (FCS Independent),12,7-5,3,12,15,10,13,23,-8,-0.67
Presbyterian (Big South),12,2-10,7,10,17,10,15,25,-8,-0.67
Wagner (NEC),12,1-11,9,5,14,9,13,22,-8,-0.67
Alabama St. (SWAC),11,5-6,7,8,15,7,16,23,-8,-0.73
Duquesne (NEC),11,6-5,6,11,17,10,15,25,-8,-0.73
Jacksonville St. (OVC),12,6-6,6,7,13,10,12,22,-9,-0.75
Valparaiso (Pioneer),12,1-11,9,8,17,7,20,27,-10,-0.83
Idaho St. (Big Sky),12,3-9,4,7,11,4,18,22,-11,-0.92
Morgan St. (MEAC),12,3-9,7,9,16,9,18,27,-11,-0.92
Richmond (CAA),12,5-7,6,5,11,10,12,22,-11,-0.92
Mercer (SoCon),12,4-8,7,5,12,7,17,24,-12,-1.00
SFA (Southland),12,3-9,5,10,15,12,15,27,-12,-1.00
Tennessee St. (OVC),12,3-9,2,8,10,11,11,22,-12,-1.00
Howard (MEAC),12,2-10,2,6,8,8,13,21,-13,-1.08
Samford (SoCon),12,5-7,7,4,11,10,14,24,-13,-1.08
Brown (Ivy League),10,2-8,5,5,10,7,14,21,-11,-1.10
LIU (NEC),10,0-10,4,3,7,9,11,20,-13,-1.30
Texas Southern (SWAC),11,0-11,8,5,13,15,13,28,-15,-1.36
Western Ill. (MVFC),12,1-11,9,5,14,17,14,31,-17,-1.42
Merrimack (NEC),11,6-5,6,16,22,7,10,17,5,0.45
North Ala. (FCS Independent),11,4-7,6,9,15,9,8,17,-2,-0.18
