Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Arizona St. (Pac-12),4,2-2,8,5,13,4,1,5,8,2.0
Ohio (MAC),3,2-1,1,5,6,2,0,2,4,1.33
Ohio St. (Big Ten),8,7-1,12,7,19,3,6,9,10,1.25
Washington (Pac-12),4,3-1,5,3,8,0,3,3,5,1.25
UCF (AAC),10,6-4,13,9,22,6,4,10,12,1.2
Ball St. (MAC),8,7-1,8,10,18,3,6,9,9,1.12
Iowa (Big Ten),8,6-2,7,11,18,4,5,9,9,1.12
Wake Forest (ACC),9,4-5,4,13,17,2,5,7,10,1.11
Coastal Carolina (Sun Belt),12,11-1,9,16,25,7,5,12,13,1.08
Central Mich. (MAC),6,3-3,7,8,15,5,4,9,6,1.0
Indiana (Big Ten),8,6-2,3,17,20,7,5,12,8,1.0
Texas (Big 12),10,7-3,9,10,19,4,5,9,10,1.0
Kentucky (SEC),11,5-6,6,16,22,7,5,12,10,0.91
Louisiana (Sun Belt),11,10-1,7,16,23,6,7,13,10,0.91
LSU (SEC),10,5-5,9,13,22,4,9,13,9,0.9
Baylor (Big 12),9,2-7,5,12,17,1,8,9,8,0.89
Southern California (Pac-12),6,5-1,7,9,16,4,7,11,5,0.83
Alabama (SEC),13,13-0,10,12,22,8,4,12,10,0.77
BYU (FBS Independent),12,11-1,10,8,18,5,4,9,9,0.75
Illinois (Big Ten),8,2-6,8,7,15,5,4,9,6,0.75
Ga. Southern (Sun Belt),13,8-5,8,18,26,6,11,17,9,0.69
Clemson (ACC),12,10-2,9,14,23,9,6,15,8,0.67
Rutgers (Big Ten),9,3-6,12,8,20,5,9,14,6,0.67
Boston College (ACC),11,6-5,12,9,21,6,8,14,7,0.64
Texas A&M (SEC),10,9-1,4,10,14,4,4,8,6,0.6
UTSA (C-USA),12,7-5,8,11,19,4,8,12,7,0.58
Buffalo (MAC),7,6-1,4,6,10,2,4,6,4,0.57
New Mexico (Mountain West),7,2-5,7,6,13,3,6,9,4,0.57
Hawaii (Mountain West),9,5-4,5,12,17,6,6,12,5,0.56
Arkansas (SEC),10,3-7,5,13,18,7,6,13,5,0.5
Army West Point (FBS Independent),12,9-3,6,14,20,8,6,14,6,0.5
Cincinnati (AAC),10,9-1,5,16,21,10,6,16,5,0.5
Notre Dame (ACC),12,10-2,10,7,17,8,3,11,6,0.5
SMU (AAC),10,7-3,10,7,17,6,6,12,5,0.5
Oklahoma (Big 12),11,9-2,3,16,19,6,8,14,5,0.45
Northwestern (Big Ten),9,7-2,5,14,19,7,8,15,4,0.44
Tulane (AAC),12,6-6,10,9,19,4,10,14,5,0.42
Auburn (SEC),11,6-5,4,9,13,2,7,9,4,0.36
Miami (FL) (ACC),11,8-3,9,7,16,6,6,12,4,0.36
Pittsburgh (ACC),11,6-5,6,14,20,4,12,16,4,0.36
Charlotte (C-USA),6,2-4,3,5,8,4,2,6,2,0.33
Iowa St. (Big 12),12,9-3,9,9,18,5,9,14,4,0.33
Stanford (Pac-12),6,4-2,5,2,7,2,3,5,2,0.33
Marshall (C-USA),10,7-3,10,5,15,2,10,12,3,0.3
Syracuse (ACC),11,1-10,11,13,24,9,12,21,3,0.27
Virginia Tech (ACC),11,5-6,5,12,17,8,6,14,3,0.27
Colorado St. (Mountain West),4,1-3,4,1,5,1,3,4,1,0.25
Kent St. (MAC),4,3-1,2,3,5,2,2,4,1,0.25
San Diego St. (Mountain West),8,4-4,5,8,13,6,5,11,2,0.25
San Jose St. (Mountain West),8,7-1,8,3,11,0,9,9,2,0.25
Rice (C-USA),5,2-3,3,6,9,6,2,8,1,0.2
TCU (Big 12),10,6-4,7,8,15,8,5,13,2,0.2
West Virginia (Big 12),10,6-4,2,11,13,7,4,11,2,0.2
Purdue (Big Ten),6,2-4,5,3,8,3,4,7,1,0.17
Wyoming (Mountain West),6,2-4,6,4,10,4,5,9,1,0.17
Georgia St. (Sun Belt),10,6-4,9,12,21,10,10,20,1,0.1
Liberty (FBS Independent),11,10-1,6,11,17,9,7,16,1,0.09
Memphis (AAC),11,8-3,8,12,20,9,10,19,1,0.09
App State (Sun Belt),12,9-3,3,15,18,6,11,17,1,0.08
Air Force (Mountain West),6,3-3,3,5,8,5,3,8,0,0.0
California (Pac-12),4,1-3,2,3,5,2,3,5,0,0.0
Eastern Mich. (MAC),6,2-4,9,3,12,6,6,12,0,0.0
Fla. Atlantic (C-USA),9,5-4,5,6,11,5,6,11,0,0.0
Fresno St. (Mountain West),6,3-3,6,4,10,5,5,10,0,0.0
Miami (OH) (MAC),3,2-1,0,2,2,1,1,2,0,0.0
Minnesota (Big Ten),7,3-4,2,5,7,2,5,7,0,0.0
Nevada (Mountain West),9,7-2,3,6,9,5,4,9,0,0.0
Oklahoma St. (Big 12),11,8-3,10,6,16,6,10,16,0,0.0
Utah (Pac-12),5,3-2,6,7,13,6,7,13,0,0.0
Wisconsin (Big Ten),7,4-3,4,8,12,5,7,12,0,0.0
South Alabama (Sun Belt),11,4-7,7,7,14,9,6,15,-1,-0.09
Virginia (ACC),10,5-5,7,11,18,5,14,19,-1,-0.1
North Carolina (ACC),12,8-4,3,8,11,5,8,13,-2,-0.17
FIU (C-USA),5,0-5,1,2,3,2,2,4,-1,-0.2
Georgia (SEC),10,8-2,4,9,13,4,11,15,-2,-0.2
Louisiana Tech (C-USA),10,5-5,5,9,14,2,14,16,-2,-0.2
Navy (AAC),10,3-7,6,3,9,7,4,11,-2,-0.2
Middle Tenn. (C-USA),9,3-6,6,8,14,6,10,16,-2,-0.22
Tulsa (AAC),9,6-3,10,6,16,7,11,18,-2,-0.22
UAB (C-USA),9,6-3,6,8,14,7,9,16,-2,-0.22
Florida (SEC),12,8-4,7,9,16,9,10,19,-3,-0.25
Texas St. (Sun Belt),12,2-10,8,7,15,4,14,18,-3,-0.25
Oregon St. (Pac-12),7,2-5,1,5,6,3,5,8,-2,-0.29
Temple (AAC),7,1-6,9,3,12,3,11,14,-2,-0.29
UCLA (Pac-12),7,3-4,2,9,11,7,6,13,-2,-0.29
Kansas St. (Big 12),10,4-6,5,7,12,5,10,15,-3,-0.3
Southern Miss. (C-USA),10,3-7,7,6,13,7,9,16,-3,-0.3
East Carolina (AAC),9,3-6,8,10,18,12,9,21,-3,-0.33
Florida St. (ACC),9,3-6,6,8,14,4,13,17,-3,-0.33
Michigan (Big Ten),6,2-4,2,2,4,2,4,6,-2,-0.33
Arkansas St. (Sun Belt),11,4-7,6,6,12,7,9,16,-4,-0.36
Troy (Sun Belt),11,5-6,6,8,14,5,13,18,-4,-0.36
South Carolina (SEC),10,2-8,3,8,11,6,9,15,-4,-0.4
Western Ky. (C-USA),12,5-7,4,6,10,11,4,15,-5,-0.42
Kansas (Big 12),9,0-9,6,4,10,4,10,14,-4,-0.44
South Fla. (AAC),9,1-8,3,10,13,11,6,17,-4,-0.44
Akron (MAC),6,1-5,4,2,6,3,6,9,-3,-0.5
Colorado (Pac-12),6,4-2,4,4,8,4,7,11,-3,-0.5
Missouri (SEC),10,5-5,5,4,9,8,6,14,-5,-0.5
NC State (ACC),12,8-4,3,10,13,4,15,19,-6,-0.5
NIU (MAC),6,0-6,2,5,7,8,2,10,-3,-0.5
Ole Miss (SEC),10,5-5,7,6,13,4,14,18,-5,-0.5
Tennessee (SEC),10,3-7,5,5,10,6,9,15,-5,-0.5
Toledo (MAC),6,4-2,5,4,9,5,7,12,-3,-0.5
Washington St. (Pac-12),4,1-3,4,2,6,4,4,8,-2,-0.5
Western Mich. (MAC),6,4-2,1,2,3,4,2,6,-3,-0.5
Boise St. (Mountain West),7,5-2,0,3,3,4,3,7,-4,-0.57
North Texas (C-USA),10,4-6,2,7,9,6,9,15,-6,-0.6
Mississippi St. (SEC),11,4-7,7,11,18,7,18,25,-7,-0.64
UNLV (Mountain West),6,0-6,3,2,5,5,4,9,-4,-0.67
Georgia Tech (ACC),10,3-7,12,6,18,12,13,25,-7,-0.7
Penn St. (Big Ten),9,4-5,6,4,10,8,9,17,-7,-0.78
ULM (Sun Belt),10,0-10,7,4,11,7,12,19,-8,-0.8
UTEP (C-USA),8,3-5,6,2,8,6,9,15,-7,-0.88
Vanderbilt (SEC),9,0-9,7,2,9,6,11,17,-8,-0.89
Texas Tech (Big 12),10,4-6,5,5,10,8,11,19,-9,-0.9
Massachusetts (FBS Independent),4,0-4,3,0,3,2,5,7,-4,-1.0
Utah St. (Mountain West),6,1-5,2,2,4,5,5,10,-6,-1.0
Louisville (ACC),11,4-7,7,5,12,12,12,24,-12,-1.09
Houston (AAC),8,3-5,3,3,6,6,10,16,-10,-1.25
Michigan St. (Big Ten),7,2-5,6,5,11,8,12,20,-9,-1.29
Oregon (Pac-12),7,4-3,2,5,7,10,6,16,-9,-1.29
Nebraska (Big Ten),8,3-5,2,5,7,9,9,18,-11,-1.38
Maryland (Big Ten),5,2-3,2,2,4,2,9,11,-7,-1.4
Duke (ACC),11,2-9,11,9,20,20,19,39,-19,-1.73
Arizona (Pac-12),5,0-5,1,2,3,5,7,12,-9,-1.8
Bowling Green (MAC),5,0-5,1,0,1,4,7,11,-10,-2.0
