Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Nevada (Mountain West),13,8-5,13,14,27,1,9,10,17,1.31
Louisiana (Sun Belt),14,13-1,13,10,23,4,4,8,15,1.07
Baylor (Big 12),14,12-2,8,19,27,7,7,14,13,0.93
Kent St. (MAC),14,7-7,9,16,25,6,6,12,13,0.93
Cincinnati (AAC),14,13-1,11,19,30,9,9,18,12,0.86
UTSA (C-USA),14,12-2,13,12,25,7,6,13,12,0.86
BYU (FBS Independent),13,10-3,8,15,23,7,5,12,11,0.85
Middle Tenn. (C-USA),13,7-6,15,17,32,8,13,21,11,0.85
Oklahoma (Big 12),13,11-2,13,11,24,4,9,13,11,0.85
Washington St. (Pac-12),13,7-6,14,15,29,5,13,18,11,0.85
California (Pac-12),12,5-7,7,13,20,2,8,10,10,0.83
Iowa (Big Ten),14,10-4,5,25,30,8,11,19,11,0.79
Western Ky. (C-USA),14,9-5,10,21,31,8,12,20,11,0.79
San Diego St. (Mountain West),14,12-2,6,17,23,8,5,13,10,0.71
Notre Dame (FBS Independent),13,11-2,10,15,25,6,10,16,9,0.69
Ohio St. (Big Ten),13,11-2,8,12,20,3,8,11,9,0.69
Houston (AAC),14,12-2,9,14,23,2,12,14,9,0.64
Wake Forest (ACC),14,11-3,14,15,29,5,15,20,9,0.64
Army West Point (FBS Independent),13,9-4,6,10,16,5,3,8,8,0.62
Ole Miss (SEC),13,10-3,9,11,20,5,7,12,8,0.62
Alabama (SEC),15,13-2,7,15,22,6,7,13,9,0.6
Boise St. (Mountain West),12,7-5,9,13,22,5,10,15,7,0.58
Illinois (Big Ten),12,5-7,9,9,18,5,6,11,7,0.58
UCLA (Pac-12),12,8-4,9,12,21,6,8,14,7,0.58
Oregon (Pac-12),14,10-4,5,17,22,6,8,14,8,0.57
Pittsburgh (ACC),14,11-3,7,16,23,7,8,15,8,0.57
Ball St. (MAC),13,6-7,4,15,19,5,7,12,7,0.54
Toledo (MAC),13,7-6,6,8,14,4,3,7,7,0.54
Colorado (Pac-12),12,4-8,4,9,13,4,3,7,6,0.5
NC State (ACC),12,9-3,2,15,17,5,6,11,6,0.5
Air Force (Mountain West),13,10-3,7,8,15,5,4,9,6,0.46
Arkansas (SEC),13,9-4,4,13,17,6,5,11,6,0.46
Georgia St. (Sun Belt),13,8-5,10,11,21,7,8,15,6,0.46
Penn St. (Big Ten),13,7-6,7,14,21,5,10,15,6,0.46
UCF (AAC),13,9-4,9,11,20,5,9,14,6,0.46
Navy (AAC),12,4-8,6,7,13,5,3,8,5,0.42
South Alabama (Sun Belt),12,5-7,10,15,25,9,11,20,5,0.42
Miami (OH) (MAC),13,7-6,8,9,17,4,8,12,5,0.38
Fla. Atlantic (C-USA),12,5-7,7,13,20,8,8,16,4,0.33
Eastern Mich. (MAC),13,7-6,8,8,16,3,9,12,4,0.31
Kansas St. (Big 12),13,8-5,7,11,18,7,7,14,4,0.31
Minnesota (Big Ten),13,9-4,9,8,17,4,9,13,4,0.31
Rutgers (Big Ten),13,5-8,11,7,18,4,10,14,4,0.31
New Mexico St. (FBS Independent),12,2-10,9,10,19,6,10,16,3,0.25
Troy (Sun Belt),12,5-7,8,16,24,11,10,21,3,0.25
Michigan St. (Big Ten),13,11-2,10,10,20,7,10,17,3,0.23
Missouri (SEC),13,6-7,5,11,16,2,11,13,3,0.23
Tennessee (SEC),13,7-6,3,13,16,10,3,13,3,0.23
Georgia (SEC),15,14-1,5,16,21,6,12,18,3,0.2
Bowling Green (MAC),12,4-8,7,12,19,8,9,17,2,0.17
Kansas (Big 12),12,2-10,8,7,15,3,10,13,2,0.17
ULM (Sun Belt),12,4-8,7,11,18,7,9,16,2,0.17
Clemson (ACC),13,10-3,9,12,21,8,11,19,2,0.15
Coastal Carolina (Sun Belt),13,11-2,6,6,12,6,4,10,2,0.15
Fresno St. (Mountain West),13,10-3,13,11,24,12,10,22,2,0.15
Iowa St. (Big 12),13,7-6,5,11,16,5,9,14,2,0.15
Louisville (ACC),13,6-7,5,10,15,7,6,13,2,0.15
North Carolina (ACC),13,6-7,5,11,16,5,9,14,2,0.15
UAB (C-USA),13,9-4,9,10,19,7,10,17,2,0.15
Michigan (Big Ten),14,12-2,8,8,16,5,9,14,2,0.14
Utah St. (Mountain West),14,11-3,13,12,25,8,15,23,2,0.14
Florida St. (ACC),12,5-7,7,14,21,8,12,20,1,0.08
Texas A&M (SEC),12,8-4,6,10,16,2,13,15,1,0.08
Auburn (SEC),13,6-7,3,9,12,7,4,11,1,0.08
Central Mich. (MAC),13,9-4,10,5,15,4,10,14,1,0.08
Oregon St. (Pac-12),13,7-6,4,15,19,6,12,18,1,0.08
Virginia Tech (ACC),13,6-7,4,10,14,8,5,13,1,0.08
Wisconsin (Big Ten),13,9-4,8,16,24,10,13,23,1,0.08
Utah (Pac-12),14,10-4,6,10,16,7,8,15,1,0.07
Arizona St. (Pac-12),13,8-5,5,16,21,11,10,21,0,0.0
North Texas (C-USA),13,6-7,12,6,18,4,14,18,0,0.0
South Carolina (SEC),13,7-6,9,15,24,13,11,24,0,0.0
Western Mich. (MAC),13,8-5,10,4,14,8,6,14,0,0.0
Boston College (ACC),12,6-6,7,10,17,7,11,18,-1,-0.08
East Carolina (AAC),12,7-5,6,15,21,11,11,22,-1,-0.08
Louisiana Tech (C-USA),12,3-9,12,9,21,6,16,22,-1,-0.08
Memphis (AAC),12,6-6,7,9,16,6,11,17,-1,-0.08
Southern California (Pac-12),12,4-8,5,14,19,7,13,20,-1,-0.08
Oklahoma St. (Big 12),14,12-2,10,9,19,8,13,21,-2,-0.14
Mississippi St. (SEC),13,7-6,5,11,16,9,9,18,-2,-0.15
Georgia Tech (ACC),12,3-9,10,3,13,5,10,15,-2,-0.17
Temple (AAC),12,3-9,9,6,15,8,9,17,-2,-0.17
Hawaii (Mountain West),13,6-7,13,14,27,14,16,30,-3,-0.23
LSU (SEC),13,6-7,5,8,13,5,11,16,-3,-0.23
Purdue (Big Ten),13,9-4,4,13,17,8,12,20,-3,-0.23
Wyoming (Mountain West),13,7-6,5,10,15,6,12,18,-3,-0.23
Rice (C-USA),12,4-8,5,14,19,7,15,22,-3,-0.25
SMU (AAC),12,8-4,5,10,15,6,12,18,-3,-0.25
Vanderbilt (SEC),12,2-10,3,13,16,5,14,19,-3,-0.25
Virginia (ACC),12,6-6,7,8,15,6,12,18,-3,-0.25
App State (Sun Belt),14,10-4,7,15,22,14,12,26,-4,-0.29
Texas Tech (Big 12),13,7-6,5,10,15,8,11,19,-4,-0.31
Arkansas St. (Sun Belt),12,2-10,7,11,18,5,17,22,-4,-0.33
South Fla. (AAC),12,2-10,7,10,17,9,12,21,-4,-0.33
TCU (Big 12),12,5-7,2,10,12,10,6,16,-4,-0.33
Texas (Big 12),12,5-7,7,7,14,8,10,18,-4,-0.33
West Virginia (Big 12),13,6-7,5,9,14,7,12,19,-5,-0.38
Akron (MAC),12,2-10,6,6,12,12,5,17,-5,-0.42
Charlotte (C-USA),12,5-7,7,8,15,10,10,20,-5,-0.42
Colorado St. (Mountain West),12,3-9,7,6,13,7,11,18,-5,-0.42
Nebraska (Big Ten),12,3-9,3,10,13,7,11,18,-5,-0.42
UNLV (Mountain West),12,2-10,7,9,16,7,14,21,-5,-0.42
NIU (MAC),14,9-5,8,3,11,9,8,17,-6,-0.43
Maryland (Big Ten),13,7-6,6,6,12,6,12,18,-6,-0.46
Tulsa (AAC),13,7-6,7,11,18,8,16,24,-6,-0.46
Northwestern (Big Ten),12,3-9,10,6,16,8,14,22,-6,-0.5
Marshall (C-USA),13,7-6,8,10,18,10,15,25,-7,-0.54
Buffalo (MAC),12,4-8,8,3,11,7,11,18,-7,-0.58
Duke (ACC),12,3-9,6,8,14,12,9,21,-7,-0.58
Ga. Southern (Sun Belt),12,3-9,4,5,9,4,12,16,-7,-0.58
Miami (FL) (ACC),12,7-5,3,8,11,8,10,18,-7,-0.58
New Mexico (Mountain West),12,3-9,4,9,13,12,8,20,-7,-0.58
Ohio (MAC),12,3-9,2,6,8,7,8,15,-7,-0.58
Southern Miss. (C-USA),12,3-9,13,11,24,14,17,31,-7,-0.58
Syracuse (ACC),12,5-7,2,4,6,7,6,13,-7,-0.58
Florida (SEC),13,6-7,4,9,13,3,18,21,-8,-0.62
Old Dominion (C-USA),13,6-7,8,7,15,9,14,23,-8,-0.62
Texas St. (Sun Belt),12,4-8,8,3,11,7,12,19,-8,-0.67
UConn (FBS Independent),12,1-11,4,10,14,5,17,22,-8,-0.67
Washington (Pac-12),12,4-8,5,10,15,7,16,23,-8,-0.67
Liberty (FBS Independent),13,8-5,2,9,11,5,15,20,-9,-0.69
Tulane (AAC),12,2-10,5,10,15,11,13,24,-9,-0.75
Massachusetts (FBS Independent),12,1-11,8,2,10,9,11,20,-10,-0.83
San Jose St. (Mountain West),12,5-7,7,6,13,13,10,23,-10,-0.83
Stanford (Pac-12),12,3-9,3,6,9,7,12,19,-10,-0.83
Kentucky (SEC),13,10-3,3,9,12,10,13,23,-11,-0.85
UTEP (C-USA),13,7-6,5,8,13,10,14,24,-11,-0.85
Indiana (Big Ten),12,2-10,4,5,9,7,15,22,-13,-1.08
FIU (C-USA),12,1-11,5,3,8,10,12,22,-14,-1.17
Arizona (Pac-12),12,1-11,2,4,6,5,18,23,-17,-1.42
