Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Princeton (Ivy League),10,8-2,8,16,24,3,5,8,16,1.60
Holy Cross (Patriot),13,12-1,10,13,23,1,5,6,17,1.31
Montana St. (Big Sky),14,12-2,15,13,28,4,8,12,16,1.14
UC Davis (Big Sky),11,6-5,8,13,21,2,7,9,12,1.09
UT Martin (OVC),11,7-4,11,17,28,5,11,16,12,1.09
South Dakota St. (MVFC),15,14-1,8,18,26,5,5,10,16,1.07
Southern Utah (WAC),11,5-6,10,14,24,6,8,14,10,0.91
Youngstown St. (MVFC),11,7-4,9,10,19,6,3,9,10,0.91
Idaho (Big Sky),12,7-5,5,16,21,3,8,11,10,0.83
Southeastern La. (Southland),13,9-4,8,16,24,6,8,14,10,0.77
Saint Francis (PA) (NEC),12,9-3,12,11,23,8,6,14,9,0.75
North Dakota St. (MVFC),15,12-3,9,16,25,8,6,14,11,0.73
Samford (SoCon),13,11-2,10,11,21,8,4,12,9,0.69
Bucknell (Patriot),11,3-8,7,15,22,5,10,15,7,0.64
Chattanooga (SoCon),11,7-4,11,11,22,4,11,15,7,0.64
Dayton (Pioneer),11,8-3,7,10,17,1,9,10,7,0.64
Tennessee St. (OVC),11,4-7,11,9,20,5,8,13,7,0.64
Furman (SoCon),13,10-3,11,18,29,12,9,21,8,0.62
Richmond (CAA),13,9-4,7,14,21,8,5,13,8,0.62
Stetson (Pioneer),10,4-6,8,16,24,8,10,18,6,0.60
Elon (CAA),12,8-4,13,8,21,10,4,14,7,0.58
Eastern Wash. (Big Sky),11,3-8,9,13,22,6,10,16,6,0.55
Texas Southern (SWAC),11,5-6,6,16,22,10,6,16,6,0.55
William & Mary (CAA),13,11-2,15,10,25,11,7,18,7,0.54
Southeast Mo. St. (OVC),12,9-3,5,11,16,3,7,10,6,0.50
Kennesaw St. (ASUN),11,5-6,11,15,26,14,7,21,5,0.45
Sam Houston (WAC),9,5-4,10,11,21,7,10,17,4,0.44
UIW (Southland),14,12-2,10,14,24,9,9,18,6,0.43
N.C. Central (MEAC),12,10-2,8,11,19,4,10,14,5,0.42
Jackson St. (SWAC),13,12-1,14,12,26,14,7,21,5,0.38
Ark.-Pine Bluff (SWAC),11,3-8,11,10,21,5,12,17,4,0.36
Missouri St. (MVFC),11,5-6,9,6,15,5,6,11,4,0.36
Prairie View (SWAC),11,6-5,10,11,21,10,7,17,4,0.36
Rhode Island (CAA),11,7-4,9,10,19,8,7,15,4,0.36
UNI (MVFC),11,6-5,6,10,16,5,7,12,4,0.36
San Diego (Pioneer),10,5-5,7,8,15,5,7,12,3,0.30
Campbell (Big South),11,5-6,7,11,18,4,11,15,3,0.27
Delaware St. (MEAC),11,5-6,9,9,18,11,4,15,3,0.27
ETSU (SoCon),11,3-8,9,12,21,3,15,18,3,0.27
Jacksonville St. (ASUN),11,9-2,15,8,23,9,11,20,3,0.27
Lafayette (Patriot),11,4-7,9,7,16,5,8,13,3,0.27
SFA (ASUN),11,6-5,8,11,19,11,5,16,3,0.27
Wofford (SoCon),11,3-8,10,5,15,4,8,12,3,0.27
Penn (Ivy League),10,8-2,3,8,11,2,7,9,2,0.20
Abilene Christian (WAC),11,7-4,8,7,15,3,10,13,2,0.18
Colgate (Patriot),11,3-8,8,7,15,5,8,13,2,0.18
Maine (CAA),11,2-9,3,8,11,3,6,9,2,0.18
Morgan St. (MEAC),11,4-7,11,11,22,8,12,20,2,0.18
Yale (Ivy League),10,8-2,5,11,16,5,10,15,1,0.10
Austin Peay (ASUN),11,7-4,6,13,19,7,11,18,1,0.09
Illinois St. (MVFC),11,6-5,6,9,15,5,9,14,1,0.09
Morehead St. (Pioneer),11,2-9,13,8,21,8,12,20,1,0.09
Eastern Ky. (ASUN),12,7-5,5,10,15,6,8,14,1,0.08
Fordham (Patriot),12,9-3,7,12,19,8,10,18,1,0.08
Weber St. (Big Sky),13,10-3,7,15,22,13,8,21,1,0.08
Alcorn (SWAC),11,5-6,11,8,19,9,10,19,0,0.00
Drake (Pioneer),11,3-8,10,10,20,8,12,20,0,0.00
LIU (NEC),11,4-7,10,13,23,12,11,23,0,0.00
Mississippi Val. (SWAC),11,2-9,8,7,15,6,9,15,0,0.00
Monmouth (CAA),11,5-6,5,10,15,6,9,15,0,0.00
Montana (Big Sky),13,8-5,6,12,18,8,10,18,0,0.00
N.C. A&T (Big South),11,7-4,3,15,18,10,8,18,0,0.00
Sacred Heart (NEC),11,5-6,2,13,15,9,6,15,0,0.00
Southern Ill. (MVFC),11,5-6,5,5,10,3,7,10,0,0.00
Valparaiso (Pioneer),12,5-7,6,10,16,6,10,16,0,0.00
North Dakota (MVFC),12,7-5,2,6,8,4,5,9,-1,-0.08
Mercer (SoCon),11,7-4,4,17,21,13,9,22,-1,-0.09
South Dakota (MVFC),11,3-8,7,6,13,8,6,14,-1,-0.09
UAlbany (CAA),11,3-8,6,8,14,11,4,15,-1,-0.09
Villanova (CAA),11,6-5,7,8,15,5,11,16,-1,-0.09
Southern U. (SWAC),12,7-5,8,13,21,10,13,23,-2,-0.17
Duquesne (NEC),11,4-7,8,12,20,5,17,22,-2,-0.18
Florida A&M (SWAC),11,9-2,6,10,16,6,12,18,-2,-0.18
McNeese (Southland),11,4-7,14,9,23,8,17,25,-2,-0.18
South Carolina St. (MEAC),11,3-8,4,13,17,4,15,19,-2,-0.18
The Citadel (SoCon),11,4-7,5,11,16,12,6,18,-2,-0.18
Towson (CAA),11,6-5,3,8,11,7,6,13,-2,-0.18
Columbia (Ivy League),10,6-4,6,13,19,11,10,21,-2,-0.20
Dartmouth (Ivy League),10,3-7,4,6,10,6,6,12,-2,-0.20
Delaware (CAA),13,8-5,14,8,22,15,10,25,-3,-0.23
New Hampshire (CAA),13,9-4,5,10,15,10,8,18,-3,-0.23
Davidson (Pioneer),12,8-4,1,11,12,10,5,15,-3,-0.25
Central Ark. (ASUN),11,5-6,8,11,19,12,10,22,-3,-0.27
Howard (MEAC),11,5-6,5,7,12,5,10,15,-3,-0.27
Charleston So. (Big South),10,2-8,7,11,18,6,15,21,-3,-0.30
Cornell (Ivy League),10,5-5,6,5,11,5,9,14,-3,-0.30
Marist (Pioneer),11,4-7,7,8,15,4,15,19,-4,-0.36
Sacramento St. (Big Sky),13,12-1,11,10,21,10,16,26,-5,-0.38
Bryant (Big South),11,4-7,5,12,17,7,15,22,-5,-0.45
Central Conn. St. (NEC),11,2-9,8,5,13,5,13,18,-5,-0.45
Eastern Ill. (OVC),11,2-9,7,13,20,10,15,25,-5,-0.45
Northern Ariz. (Big Sky),11,3-8,3,5,8,5,8,13,-5,-0.45
Harvard (Ivy League),10,6-4,3,7,10,5,10,15,-5,-0.50
Gardner-Webb (Big South),13,7-6,9,16,25,15,17,32,-7,-0.54
Alabama A&M (SWAC),11,4-7,9,9,18,9,15,24,-6,-0.55
Cal Poly (Big Sky),11,2-9,5,13,18,8,16,24,-6,-0.55
Hampton (CAA),11,4-7,5,11,16,2,20,22,-6,-0.55
Houston Christian (Southland),11,2-9,12,11,23,12,17,29,-6,-0.55
Indiana St. (MVFC),11,2-9,6,7,13,10,9,19,-6,-0.55
North Ala. (ASUN),11,1-10,5,7,12,5,13,18,-6,-0.55
Portland St. (Big Sky),11,4-7,5,8,13,8,11,19,-6,-0.55
Alabama St. (SWAC),11,6-5,6,10,16,13,10,23,-7,-0.64
Butler (Pioneer),11,7-4,3,8,11,8,10,18,-7,-0.64
Lamar University (Southland),11,1-10,9,8,17,14,10,24,-7,-0.64
Robert Morris (Big South),11,0-11,7,10,17,6,18,24,-7,-0.64
Georgetown (Patriot),11,2-9,4,8,12,8,12,20,-8,-0.73
Grambling (SWAC),11,3-8,9,5,14,11,11,22,-8,-0.73
Lehigh (Patriot),11,2-9,6,6,12,10,10,20,-8,-0.73
Tennessee Tech (OVC),11,4-7,9,2,11,7,12,19,-8,-0.73
Wagner (NEC),11,1-10,5,9,14,9,13,22,-8,-0.73
Idaho St. (Big Sky),11,1-10,8,8,16,10,16,26,-10,-0.91
Stony Brook (CAA),11,2-9,7,3,10,4,16,20,-10,-0.91
Bethune-Cookman (SWAC),11,2-9,8,9,17,15,13,28,-11,-1.00
Murray St. (OVC),11,2-9,3,8,11,7,15,22,-11,-1.00
Norfolk St. (MEAC),11,2-9,4,6,10,6,15,21,-11,-1.00
Northern Colo. (Big Sky),11,3-8,8,7,15,12,14,26,-11,-1.00
VMI (SoCon),11,1-10,7,9,16,11,17,28,-12,-1.09
Nicholls (Southland),11,3-8,0,5,5,6,15,21,-16,-1.45
Presbyterian (Pioneer),11,1-10,8,2,10,10,16,26,-16,-1.45
Western Caro. (SoCon),11,6-5,4,6,10,6,20,26,-16,-1.45
Brown (Ivy League),10,3-7,5,6,11,9,17,26,-15,-1.50
Western Ill. (MVFC),11,0-11,4,5,9,7,19,26,-17,-1.55
Northwestern St. (Southland),11,4-7,4,7,11,11,18,29,-18,-1.64
Merrimack (NEC),11,8-3,10,10,20,4,4,8,12,1.09
Tarleton St. (WAC),11,6-5,12,10,22,8,11,19,3,0.27
Stonehill (NEC),9,4-5,9,7,16,7,7,14,2,0.22
Tex. A&M-Commerce (Southland),11,5-6,6,14,20,10,10,20,0,0.00
Lindenwood (OVC),10,7-3,10,4,14,8,9,17,-3,-0.30
St. Thomas (MN) (Pioneer),11,10-1,3,13,16,12,9,21,-5,-0.45
Utah Tech (WAC),11,4-7,9,8,17,8,15,23,-6,-0.55
