Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Eastern Ill. (OVC),11,8-3,11,14,25,3,7,10,15,1.36
Furman (SoCon),13,10-3,9,18,27,2,8,10,17,1.31
North Dakota St. (MVFC),14,11-3,6,21,27,6,4,10,17,1.21
Bryant (OVC),11,6-5,13,11,24,4,7,11,13,1.18
Kennesaw St. (FCS Independent),9,3-6,5,10,15,2,3,5,10,1.11
Harvard (Ivy League),10,8-2,7,13,20,1,9,10,10,1.00
Alcorn (SWAC),11,7-4,8,15,23,5,8,13,10,0.91
South Dakota St. (MVFC),13,13-0,7,15,22,7,4,11,11,0.85
Jackson St. (SWAC),11,7-4,5,17,22,9,4,13,9,0.82
Montana (Big Sky),13,12-1,6,16,22,4,8,12,10,0.77
San Diego (Pioneer),11,4-7,9,15,24,10,6,16,8,0.73
UAlbany (CAA),14,11-3,12,16,28,8,10,18,10,0.71
Princeton (Ivy League),10,5-5,10,10,20,7,6,13,7,0.70
Alabama St. (SWAC),11,7-4,11,11,22,7,8,15,7,0.64
Elon (CAA),11,6-5,8,10,18,5,6,11,7,0.64
Merrimack (NEC),11,5-6,8,10,18,7,4,11,7,0.64
Southern Utah (ASUN),11,6-5,6,14,20,4,9,13,7,0.64
Towson (CAA),11,5-6,11,8,19,5,7,12,7,0.64
Southern Ill. (MVFC),13,8-5,13,12,25,9,8,17,8,0.62
Morgan St. (MEAC),10,4-6,12,11,23,8,9,17,6,0.60
Montana St. (Big Sky),12,8-4,3,11,14,3,4,7,7,0.58
Abilene Christian (ASUN),11,5-6,4,12,16,3,7,10,6,0.55
Central Ark. (ASUN),11,7-4,7,10,17,6,5,11,6,0.55
Fordham (Patriot),11,6-5,6,8,14,7,1,8,6,0.55
Nicholls (Southland),11,6-5,8,16,24,5,13,18,6,0.55
Norfolk St. (MEAC),11,3-8,13,9,22,6,10,16,6,0.55
Southeast Mo. St. (OVC),11,4-7,4,13,17,6,5,11,6,0.55
Weber St. (Big Sky),11,6-5,8,10,18,4,8,12,6,0.55
Mercer (SoCon),13,9-4,11,14,25,13,5,18,7,0.54
N.C. Central (MEAC),12,9-3,6,7,13,3,4,7,6,0.50
Grambling (SWAC),11,5-6,7,14,21,8,8,16,5,0.45
Monmouth (CAA),11,4-7,8,8,16,5,6,11,5,0.45
Morehead St. (Pioneer),11,4-7,3,17,20,4,11,15,5,0.45
New Hampshire (CAA),11,6-5,6,10,16,5,6,11,5,0.45
William & Mary (CAA),11,6-5,5,10,15,6,4,10,5,0.45
Drake (Pioneer),12,8-4,15,5,20,7,9,16,4,0.33
Florida A&M (SWAC),12,11-1,6,14,20,7,9,16,4,0.33
Lafayette (Patriot),12,9-3,8,9,17,7,6,13,4,0.33
North Dakota (MVFC),12,7-5,6,7,13,4,5,9,4,0.33
Chattanooga (SoCon),13,8-5,10,10,20,4,12,16,4,0.31
Columbia (Ivy League),10,3-7,4,10,14,5,6,11,3,0.30
Yale (Ivy League),10,7-3,6,9,15,4,8,12,3,0.30
Butler (Pioneer),11,7-4,5,9,14,4,7,11,3,0.27
Charleston So. (OVC),11,4-7,5,10,15,4,8,12,3,0.27
Richmond (CAA),13,9-4,10,16,26,8,15,23,3,0.23
Youngstown St. (MVFC),13,8-5,6,8,14,4,7,11,3,0.23
Brown (Ivy League),10,5-5,3,13,16,3,11,14,2,0.20
Alabama A&M (SWAC),11,5-6,15,11,26,11,13,24,2,0.18
Bucknell (Patriot),11,4-7,3,10,13,6,5,11,2,0.18
Eastern Ky. (ASUN),11,5-6,10,9,19,5,12,17,2,0.18
Lamar University (Southland),11,6-5,9,8,17,6,9,15,2,0.18
Sacred Heart (NEC),11,2-9,6,10,16,3,11,14,2,0.18
Samford (SoCon),11,6-5,7,7,14,4,8,12,2,0.18
Sacramento St. (Big Sky),13,8-5,4,14,18,5,11,16,2,0.15
South Dakota (MVFC),13,10-3,6,9,15,6,7,13,2,0.15
Dartmouth (Ivy League),10,6-4,8,9,17,8,8,16,1,0.10
Eastern Wash. (Big Sky),11,4-7,5,10,15,4,10,14,1,0.09
Howard (MEAC),11,6-5,2,7,9,3,5,8,1,0.09
Illinois St. (MVFC),11,6-5,5,11,16,9,6,15,1,0.09
Northern Colo. (Big Sky),11,0-11,3,12,15,4,10,14,1,0.09
UC Davis (Big Sky),11,7-4,8,11,19,7,11,18,1,0.09
Wofford (SoCon),11,2-9,7,9,16,8,7,15,1,0.09
Austin Peay (ASUN),12,9-3,5,11,16,5,10,15,1,0.08
Davidson (Pioneer),11,7-4,7,6,13,3,10,13,0,0.00
Delaware (CAA),13,9-4,11,13,24,9,15,24,0,0.00
Portland St. (Big Sky),11,5-6,3,9,12,5,7,12,0,0.00
Central Conn. St. (NEC),11,3-8,5,10,15,7,9,16,-1,-0.09
Colgate (Patriot),11,6-5,11,6,17,5,13,18,-1,-0.09
Marist (Pioneer),11,4-7,13,8,21,9,13,22,-1,-0.09
Villanova (CAA),13,10-3,4,13,17,9,10,19,-2,-0.15
Southeastern La. (Southland),11,3-8,5,12,17,9,10,19,-2,-0.18
Stetson (Pioneer),11,3-8,9,12,21,8,15,23,-2,-0.18
Georgetown (Patriot),11,5-6,4,10,14,5,12,17,-3,-0.27
Southern U. (SWAC),11,6-5,14,7,21,11,13,24,-3,-0.27
Cornell (Ivy League),10,3-7,2,8,10,5,8,13,-3,-0.30
Houston Christian (Southland),10,5-5,11,6,17,9,11,20,-3,-0.30
UIW (Southland),10,8-2,5,11,16,10,9,19,-3,-0.30
Presbyterian (Pioneer),11,4-7,8,8,16,10,10,20,-4,-0.36
Robert Morris (OVC),11,4-7,10,7,17,12,9,21,-4,-0.36
SFA (ASUN),11,3-8,9,9,18,10,12,22,-4,-0.36
South Carolina St. (MEAC),11,5-6,7,9,16,9,11,20,-4,-0.36
Wagner (NEC),11,4-7,2,10,12,7,9,16,-4,-0.36
Western Ill. (MVFC),11,0-11,8,3,11,6,9,15,-4,-0.36
Idaho (Big Sky),13,9-4,5,11,16,12,9,21,-5,-0.38
Duquesne (NEC),12,7-5,10,9,19,5,19,24,-5,-0.42
Prairie View (SWAC),12,6-6,4,8,12,5,12,17,-5,-0.42
Ark.-Pine Bluff (SWAC),11,2-9,10,4,14,11,8,19,-5,-0.45
Campbell (CAA),11,5-6,4,8,12,9,8,17,-5,-0.45
Missouri St. (MVFC),11,4-7,4,10,14,8,11,19,-5,-0.45
Northern Ariz. (Big Sky),11,5-6,4,11,15,7,13,20,-5,-0.45
Rhode Island (CAA),11,6-5,2,9,11,6,10,16,-5,-0.45
Tennessee St. (OVC),11,6-5,4,7,11,8,8,16,-5,-0.45
Tennessee Tech (OVC),11,4-7,7,12,19,10,14,24,-5,-0.45
Texas Southern (SWAC),11,3-8,6,5,11,8,8,16,-5,-0.45
VMI (SoCon),11,5-6,7,4,11,6,10,16,-5,-0.45
Saint Francis (PA) (NEC),10,4-6,5,6,11,5,11,16,-5,-0.50
Bethune-Cookman (SWAC),11,3-8,8,9,17,13,10,23,-6,-0.55
Hampton (CAA),11,5-6,7,7,14,6,14,20,-6,-0.55
Holy Cross (Patriot),11,7-4,2,5,7,6,7,13,-6,-0.55
Maine (CAA),11,2-9,8,7,15,8,13,21,-6,-0.55
Mississippi Val. (SWAC),11,1-10,8,7,15,11,10,21,-6,-0.55
LIU (NEC),11,4-7,5,7,12,8,11,19,-7,-0.64
N.C. A&T (CAA),11,1-10,6,5,11,10,8,18,-7,-0.64
UNI (MVFC),11,6-5,7,9,16,8,15,23,-7,-0.64
Western Caro. (SoCon),11,7-4,5,9,14,8,13,21,-7,-0.64
Dayton (Pioneer),11,4-7,10,9,19,15,12,27,-8,-0.73
Murray St. (MVFC),11,2-9,4,6,10,7,11,18,-8,-0.73
UT Martin (OVC),11,8-3,3,9,12,11,9,20,-8,-0.73
Stony Brook (CAA),10,0-10,4,8,12,10,10,20,-8,-0.80
North Ala. (ASUN),11,3-8,7,8,15,11,13,24,-9,-0.82
Lehigh (Patriot),11,2-9,9,3,12,8,14,22,-10,-0.91
Gardner-Webb (OVC),12,7-5,6,10,16,16,11,27,-11,-0.92
ETSU (SoCon),11,3-8,7,7,14,13,12,25,-11,-1.00
Northwestern St. (Southland),6,0-6,6,4,10,6,10,16,-6,-1.00
Cal Poly (Big Sky),11,3-8,7,4,11,10,13,23,-12,-1.09
Delaware St. (MEAC),11,1-10,4,3,7,6,13,19,-12,-1.09
The Citadel (SoCon),11,0-11,3,6,9,12,9,21,-12,-1.09
McNeese (Southland),10,0-10,6,5,11,11,11,22,-11,-1.10
Penn (Ivy League),10,6-4,1,8,9,8,12,20,-11,-1.10
Indiana St. (MVFC),11,1-10,4,5,9,8,14,22,-13,-1.18
Idaho St. (Big Sky),11,3-8,6,8,14,6,22,28,-14,-1.27
Valparaiso (Pioneer),11,3-8,6,3,9,11,13,24,-15,-1.36
Stonehill (NEC),10,5-5,9,7,16,4,8,12,4,0.40
Tarleton St. (ASUN),11,8-3,11,7,18,6,13,19,-1,-0.09
Tex. A&M-Commerce (Southland),10,1-9,7,15,22,6,17,23,-1,-0.10
Utah Tech (ASUN),11,2-9,8,8,16,4,14,18,-2,-0.18
St. Thomas (MN) (Pioneer),11,8-3,5,8,13,9,9,18,-5,-0.45
Lindenwood (OVC),10,3-7,6,3,9,5,16,21,-12,-1.20
